goodrx_default_quantity,goodrx_dosage,goodrx_drug_id,goodrx_form_name,goodrx_slug,mapping_source,description,dosage_form,strength,billing_unit,gcn,gcn_seqno,medid,with_modified_retail_package
30,200mg,4866,tablet,lamictal,gcn_expansion,Subvenite 200 mg tablet,tablet,200,each,64325,22551,596476,f
30,200mg,4866,tablet,lamictal,gcn_expansion,Subvenite 200 mg tablet,tablet,200,each,64325,22551,596476,f
1,2.5ml-of-0.005%25,35533,eye-dropper,xalatan,manual,timolol 0.5 %-latanoprost 0.005 % (PF) eye drops,drops,0.5-0.005,milliliters,44841,78504,596505,f
30,5mg,2314,tablet,xyzal,gcn_expansion,24HR Allergy Relief 5 mg tablet,tablet,5,each,14901,48920,596511,f
40,5ml-of-250mg,43335,vial,vancomycin,manual,vancomycin 250 mg intravenous solution,recon soln,250,each,41288,25996,596955,f
12,30ml-of-1.25g,43337,vial,vancomycin,manual,vancomycin 1.25 gram intravenous solution,recon soln,1.25,each,45031,78661,596956,f
1,30ml-of-1.5g,43338,vial,vancomycin,manual,vancomycin 1.5 gram intravenous solution,recon soln,1.5,each,45032,78662,596957,f
1,85g-of-3%25,35865,tube-of-cream,lidocaine,manual,lidocaine 3 % topical cream,cream,3,grams,45049,78680,597014,f
1,85g-of-3%25,35865,tube-of-cream,xylocaine,manual,lidocaine 3 % topical cream,cream,3,grams,45049,78680,597014,f
30,5mg,2314,tablet,xyzal,gcn_expansion,Allergy Relief (levocetirizine) 5 mg tablet,tablet,5,each,14901,48920,597077,f
30,400mg,40407,tablet,magnesium-oxide,manual,magnesium 400 mg (as magnesium oxide) tablet,tablet,400,each,45085,78710,597094,f
60,3mg,43729,tablet,levorphanol,manual,levorphanol tartrate 3 mg tablet,tablet,3,each,45941,79449,598791,f
60,10ml-of-0.9%25,33723,syringe,sodium-chloride,manual,sodium chloride 0.9 % injection syringe,syringe,0.9,milliliters,45148,78758,598826,f
946,100mg-5ml,41268,liquid,iophen-nr,gcn_expansion,Mucus-Chest Congestion 100 mg/5 mL oral liquid,liquid,100,milliliters,2512,22210,598858,f
60,375mg,32151,tablet,ec-naprosyn,gcn_expansion,"EC-Naproxen 375 mg tablet,delayed release","tablet,delayed release (DR/EC)",375,each,61850,18435,598874,f
60,375mg,32151,tablet,ec-naprosyn,gcn_expansion,"EC-Naproxen 375 mg tablet,delayed release","tablet,delayed release (DR/EC)",375,each,61850,18435,598874,f
60,500mg,32152,tablet,ec-naprosyn,gcn_expansion,"EC-Naproxen 500 mg tablet,delayed release","tablet,delayed release (DR/EC)",500,each,61851,18436,598875,f
60,500mg,32152,tablet,ec-naprosyn,gcn_expansion,"EC-Naproxen 500 mg tablet,delayed release","tablet,delayed release (DR/EC)",500,each,61851,18436,598875,f
30,8.16mg-325mg,44080,tablet,apadaz,manual,benzhydrocodone 8.16 mg-acetaminophen 325 mg tablet,tablet,8.16-325,each,45986,79488,598883,f
30,8.16mg-325mg,44080,tablet,benzhydrocodone-acetaminophen,manual,benzhydrocodone 8.16 mg-acetaminophen 325 mg tablet,tablet,8.16-325,each,45986,79488,598883,f
30,4.08mg-325mg,44078,tablet,apadaz,manual,benzhydrocodone 4.08 mg-acetaminophen 325 mg tablet,tablet,4.08-325,each,45987,79489,598884,f
30,4.08mg-325mg,44078,tablet,benzhydrocodone-acetaminophen,manual,benzhydrocodone 4.08 mg-acetaminophen 325 mg tablet,tablet,4.08-325,each,45987,79489,598884,f
1,24-tubes-of-2%25-2%25-cream,41350,kit,ana-lex,manual,lidocaine 2 %-hydrocortisone 2 % (7 gram) rectal kit cream and wipes,kit,2 %-2 %,each,46017,79514,598939,f
1,24-tubes-of-2%25-2%25-cream,41350,kit,lidocaine-hydrocortisone,manual,lidocaine 2 %-hydrocortisone 2 % (7 gram) rectal kit cream and wipes,kit,2 %-2 %,each,46017,79514,598939,f
30,200mg,30051,tablet,toprol-xl,manual,"Toprol XL 200 mg tablet,extended release",tablet extended release,200,each,20743,16601,150013,f
30,200mg,30051,tablet,toprol-xl,manual,"Toprol XL 200 mg tablet,extended release",tablet extended release,200,each,20743,16601,150013,f
30,200mg,30051,tablet,metoprolol-er,manual,"Toprol XL 200 mg tablet,extended release",tablet extended release,200,each,20743,16601,150013,f
120,6.25mg-5ml,13113,syrup,phenergan,gcn_expansion,Phenergan Plain 6.25 mg/5 mL oral syrup,syrup,6.25,milliliters,15035,3876,150048,f
120,6.25mg-5ml,13113,syrup,promethazine,gcn_expansion,Phenergan Plain 6.25 mg/5 mL oral syrup,syrup,6.25,milliliters,15035,3876,150048,f
120,6.25mg-5ml,13113,syrup,phenergan,gcn_expansion,Phenergan Plain 6.25 mg/5 mL oral syrup,syrup,6.25,milliliters,15035,3876,150048,f
120,6.25mg-5ml,13113,syrup,promethazine,gcn_expansion,Phenergan Plain 6.25 mg/5 mL oral syrup,syrup,6.25,milliliters,15035,3876,150048,f
30,10meq,7227,tablet,k-tab,manual,"Kaon-Cl-10 10 mEq tablet,extended release",tablet extended release,10,each,3510,1275,150052,f
30,10meq,7227,tablet,potassium-chloride-er,manual,"Kaon-Cl-10 10 mEq tablet,extended release",tablet extended release,10,each,3510,1275,150052,f
30,10meq,7227,tablet,klor-con,manual,"Kaon-Cl-10 10 mEq tablet,extended release",tablet extended release,10,each,3510,1275,150052,f
30,10meq,7227,tablet,klor-con-m,manual,"Kaon-Cl-10 10 mEq tablet,extended release",tablet extended release,10,each,3510,1275,150052,f
10,50mg,42481,suppository,phenergan,manual,promethazine 50 mg rectal suppository,suppository,50,each,15002,3874,150100,f
10,50mg,42481,suppository,promethazine,manual,promethazine 50 mg rectal suppository,suppository,50,each,15002,3874,150100,f
10,50mg,42481,suppository,phenergan,manual,promethazine 50 mg rectal suppository,suppository,50,each,15002,3874,150100,f
10,50mg,42481,suppository,promethazine,manual,promethazine 50 mg rectal suppository,suppository,50,each,15002,3874,150100,f
1,5ml-of-10%25,35573,eye-dropper,ak-dilate,manual,phenylephrine 10 % eye drops,drops,10,milliliters,32282,7763,150113,f
60,250mg-15mg,30039,tablet,aldoril,manual,methyldopa 250 mg-hydrochlorothiazide 15 mg tablet,tablet,250-15,each,51960,354,150221,f
12,25mg,283,suppository,hydrocortisone-acetate,gcn_expansion,Anu-Med HC 25 mg rectal suppository,suppository,25,each,27941,6858,150279,f
12,25mg,283,suppository,hydrocortisone-acetate,gcn_expansion,Anu-Med HC 25 mg rectal suppository,suppository,25,each,27941,6858,150279,f
30,40mg-12.5mg,39376,tablet,micardis-hct,manual,telmisartan 40 mg-hydrochlorothiazide 12.5 mg tablet,tablet,40-12.5,each,12257,47326,150297,f
90,10mg,192,tablet,lisinopril,gcn_expansion,Prinivil 10 mg tablet,tablet,10,each,47261,390,150320,f
90,10mg,192,tablet,prinivil,gcn_expansion,Prinivil 10 mg tablet,tablet,10,each,47261,390,150320,f
90,10mg,192,tablet,zestril,gcn_expansion,Prinivil 10 mg tablet,tablet,10,each,47261,390,150320,f
90,10mg,192,tablet,lisinopril,gcn_expansion,Prinivil 10 mg tablet,tablet,10,each,47261,390,150320,f
300,50mg-5ml,13246,oral-solution,symadine,manual,amantadine HCl 50 mg/5 mL oral solution,solution,50,milliliters,17530,4576,150339,f
60,500mg,4761,capsule,hydroxyurea,manual,Hydrea 500 mg capsule,capsule,500,each,38400,8775,150345,f
60,500mg,4761,capsule,hydrea,manual,Hydrea 500 mg capsule,capsule,500,each,38400,8775,150345,f
90,120mg,5629,tablet,calan-sr,manual,"verapamil ER (SR) 120 mg tablet,extended release",tablet extended release,120,each,32472,15959,150388,f
90,120mg,5629,tablet,calan-sr,manual,"verapamil ER (SR) 120 mg tablet,extended release",tablet extended release,120,each,32472,15959,150388,f
90,120mg,5629,tablet,verapamil-er,manual,"verapamil ER (SR) 120 mg tablet,extended release",tablet extended release,120,each,32472,15959,150388,f
30,10mg,36443,tablet,montelukast,gcn_expansion,Singulair 10 mg tablet,tablet,10,each,94444,38451,150390,f
90,40mg,82,tablet,pravachol,manual,Pravachol 40 mg tablet,tablet,40,each,48673,20741,150475,f
90,40mg,82,tablet,pravachol,manual,Pravachol 40 mg tablet,tablet,40,each,48673,20741,150475,f
90,1mg,37401,tablet,finasteride,gcn_expansion,Propecia 1 mg tablet,tablet,1,each,29248,37050,150496,f
90,1mg,37401,tablet,propecia,gcn_expansion,Propecia 1 mg tablet,tablet,1,each,29248,37050,150496,f
30,250mg,33481,tablet,chlorothiazide,manual,Diuril 250 mg tablet,tablet,250,,34802,8173,150543,f
30,250mg,33481,tablet,diuril,manual,Diuril 250 mg tablet,tablet,250,,34802,8173,150543,f
56,500mg,54,capsule,sumycin,manual,tetracycline 500 mg capsule,capsule,500,each,40073,9190,150546,f
56,500mg,54,capsule,tetracycline,manual,tetracycline 500 mg capsule,capsule,500,each,40073,9190,150546,f
56,500mg,54,capsule,tetracyn,manual,tetracycline 500 mg capsule,capsule,500,each,40073,9190,150546,f
56,500mg,54,capsule,sumycin,manual,tetracycline 500 mg capsule,capsule,500,each,40073,9190,150546,f
30,100mg,7316,tablet,symadine,manual,amantadine HCl 100 mg tablet,tablet,100,each,17521,27637,150595,f
60,75mg-200mcg,37295,tablet,arthrotec,gcn_expansion,"Arthrotec 75 75 mg-200 mcg tablet,film-coated","tablet,IR,delayed rel,biphasic",75-200,each,6263,35737,150636,f
1,45g-of-0.1%25,34870,tube-of-cream,elocon,gcn_expansion,Elocon 0.1 % topical cream,cream,0.1,grams,45850,7638,150689,f
1,45g-of-0.1%25,34870,tube-of-cream,elocon,gcn_expansion,Elocon 0.1 % topical cream,cream,0.1,grams,45850,7638,150689,f
90,50mg,30016,tablet,losartan,manual,losartan 50 mg tablet,tablet,50,each,14851,23382,150773,f
90,50mg,30016,tablet,losartan,manual,losartan 50 mg tablet,tablet,50,each,14851,23382,150773,f
90,50mg,30016,tablet,cozaar,manual,losartan 50 mg tablet,tablet,50,each,14851,23382,150773,f
60,75mg,30025,tablet,ludiomil,manual,maprotiline 75 mg tablet,tablet,75,each,16617,46134,150775,f
60,75mg,30025,tablet,maprotiline,manual,maprotiline 75 mg tablet,tablet,75,each,16617,46134,150775,f
60,75mg,30025,tablet,ludiomil,manual,maprotiline 75 mg tablet,tablet,75,each,16617,46134,150775,f
1,28.4g-of-1%25,37392,tube-of-cream,cortef,gcn_expansion,Yeast-X External 1 % topical cream,cream,1,grams,30942,7544,150785,f
1,28.4g-of-1%25,37392,tube-of-cream,hydrocortisone,gcn_expansion,Yeast-X External 1 % topical cream,cream,1,grams,30942,7544,150785,f
1,28.4g-of-1%25,37392,tube-of-cream,cortef,gcn_expansion,Yeast-X External 1 % topical cream,cream,1,grams,30942,7544,150785,f
1,28.4g-of-1%25,37392,tube-of-cream,hydrocortisone,gcn_expansion,Yeast-X External 1 % topical cream,cream,1,grams,30942,7544,150785,f
120,5mg-1.5mg-5ml,31785,syrup,hycodan,gcn_expansion,Hydromet 5 mg-1.5 mg/5 mL oral syrup,syrup,5-1.5,milliliters,13973,48491,150813,f
120,5mg-1.5mg-5ml,31785,syrup,hydromet,gcn_expansion,Hydromet 5 mg-1.5 mg/5 mL oral syrup,syrup,5-1.5,milliliters,13973,48491,150813,f
120,5mg-1.5mg-5ml,31785,syrup,hycodan,gcn_expansion,Hydromet 5 mg-1.5 mg/5 mL oral syrup,syrup,5-1.5,milliliters,13973,48491,150813,f
120,5mg-1.5mg-5ml,31785,syrup,hydromet,gcn_expansion,Hydromet 5 mg-1.5 mg/5 mL oral syrup,syrup,5-1.5,milliliters,13973,48491,150813,f
120,5mg-1.5mg-5ml,31785,syrup,hydrocodone-homatropine,gcn_expansion,Hydromet 5 mg-1.5 mg/5 mL oral syrup,syrup,5-1.5,milliliters,13973,48491,150813,f
90,350mg,4158,tablet,soma,manual,carisoprodol 350 mg tablet,tablet,350,each,17912,4663,150853,f
90,350mg,4158,tablet,carisoprodol,manual,carisoprodol 350 mg tablet,tablet,350,each,17912,4663,150853,f
90,5mg,8021,tablet,dolophine,gcn_expansion,Methadose 5 mg tablet,tablet,5,each,16422,4242,150876,f
90,5mg,8021,tablet,methadone,gcn_expansion,Methadose 5 mg tablet,tablet,5,each,16422,4242,150876,f
90,5mg,8021,tablet,methadose,gcn_expansion,Methadose 5 mg tablet,tablet,5,each,16422,4242,150876,f
90,120mg,39348,capsule,diltiazem-er-cardizem-cd,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
90,120mg,39348,capsule,cardizem-cd,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
90,120mg,39348,capsule,diltiazem-er-cardizem-cd,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
90,120mg,39348,capsule,cartia-xt,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
90,120mg,39348,capsule,dilt-cd,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
90,120mg,39348,capsule,cardizem-cd,manual,"Diltiazem CD 120 mg capsule,extended release","capsule,extended release 24hr",120,each,2326,21282,150904,f
30,300mg,34093,tablet,seroquel,gcn_expansion,Seroquel 300 mg tablet,tablet,300,each,67665,47198,150937,f
30,300mg,34093,tablet,quetiapine,gcn_expansion,Seroquel 300 mg tablet,tablet,300,each,67665,47198,150937,f
30,30mg,38836,tablet,nifediac-cc,manual,"nifedipine ER 30 mg tablet,extended release 24 hr",tablet extended release 24hr,30,each,2221,20616,150971,f
30,30mg,38836,tablet,afeditab-cr,manual,"nifedipine ER 30 mg tablet,extended release 24 hr",tablet extended release 24hr,30,each,2221,20616,150971,f
30,30mg,38836,tablet,adalat-cc,manual,"nifedipine ER 30 mg tablet,extended release 24 hr",tablet extended release 24hr,30,each,2221,20616,150971,f
30,30mg,38836,tablet,nifedipine-er-adalat-cc,manual,"nifedipine ER 30 mg tablet,extended release 24 hr",tablet extended release 24hr,30,each,2221,20616,150971,f
30,25mg,34089,tablet,seroquel,manual,quetiapine 25 mg tablet,tablet,25,each,67661,34187,150994,f
30,25mg,34089,tablet,quetiapine,manual,quetiapine 25 mg tablet,tablet,25,each,67661,34187,150994,f
30,40mg-25mg,596,tablet,inderide,manual,Inderide 40 mg-25 mg tablet,tablet,40-25,each,52030,410,151019,f
30,40mg-25mg,596,tablet,inderide,manual,Inderide 40 mg-25 mg tablet,tablet,40-25,each,52030,410,151019,f
60,75mg-200mcg,37295,tablet,arthrotec,manual,"diclofenac 75 mg-misoprostol 200 mcg tablet,immediate,delayed release","tablet,IR,delayed rel,biphasic",75-200,each,6263,35737,151023,f
60,12-hour,31187,tablet,cetirizine-pseudoephedrine,manual,"cetirizine 5 mg-pseudoephedrine ER 120 mg tablet,extended release,12hr",tablet extended release 12 hr,5-120,each,13866,48415,151114,f
60,12-hour,31187,tablet,zyrtec-d,manual,"cetirizine 5 mg-pseudoephedrine ER 120 mg tablet,extended release,12hr",tablet extended release 12 hr,5-120,each,13866,48415,151114,f
30,200mg,39873,capsule,celebrex,manual,celecoxib 200 mg capsule,capsule,200,each,42002,41286,151116,f
30,2mg,39337,capsule,detrol-la,manual,"tolterodine ER 2 mg capsule,extended release 24 hr","capsule,extended release 24hr",2,each,12264,47328,151167,f
30,250mg,42723,capsule,cycloserine,manual,cycloserine 250 mg capsule,capsule,250,each,41250,9319,151172,f
30,250mg,42723,capsule,seromycin,manual,cycloserine 250 mg capsule,capsule,250,each,41250,9319,151172,f
40,250mg,46,tablet,penicillin-v-potassium,manual,penicillin V potassium 250 mg tablet,tablet,250,each,39053,8879,151185,f
40,250mg,46,tablet,veetids,manual,penicillin V potassium 250 mg tablet,tablet,250,each,39053,8879,151185,f
40,250mg,46,tablet,penicillin-v-potassium,manual,penicillin V potassium 250 mg tablet,tablet,250,each,39053,8879,151185,f
40,250mg,46,tablet,veetids,manual,penicillin V potassium 250 mg tablet,tablet,250,each,39053,8879,151185,f
30,20mg,7866,tablet,metadate-er,algo,"Metadate ER 20 mg tablet,extended release",tablet extended release,20,each,16180,4029,151208,f
30,20mg,7866,tablet,methylphenidate-sr,algo,"Metadate ER 20 mg tablet,extended release",tablet extended release,20,each,16180,4029,151208,f
90,20mg,1611,tablet,zocor,manual,Zocor 20 mg tablet,tablet,20,each,26533,16578,151266,f
90,20mg,1611,tablet,simvastatin,manual,Zocor 20 mg tablet,tablet,20,each,26533,16578,151266,f
30,200mg,33373,capsule,progesterone,manual,Prometrium 200 mg capsule,capsule,200,each,50786,43802,151287,f
30,200mg,33373,capsule,prometrium,manual,Prometrium 200 mg capsule,capsule,200,each,50786,43802,151287,f
90,5mg,4313,tablet,cortef,manual,hydrocortisone 5 mg tablet,tablet,5,each,26783,6705,151292,f
90,5mg,4313,tablet,hydrocortisone,manual,hydrocortisone 5 mg tablet,tablet,5,each,26783,6705,151292,f
90,5mg,4313,tablet,cortef,manual,hydrocortisone 5 mg tablet,tablet,5,each,26783,6705,151292,f
90,5mg,4313,tablet,hydrocortisone,manual,hydrocortisone 5 mg tablet,tablet,5,each,26783,6705,151292,f
90,15mg,33797,tablet,pro-banthine,manual,propantheline 15 mg tablet,tablet,15,each,19040,4877,151294,f
40,125mg,34116,capsule,vancocin,manual,Vancocin 125 mg capsule,capsule,125,each,41370,9326,151335,f
40,125mg,34116,capsule,vancomycin,manual,Vancocin 125 mg capsule,capsule,125,each,41370,9326,151335,f
20,1ml-of-15mg-ml,39833,vial,ketorolac,manual,ketorolac 15 mg/mL injection solution,solution,15,milliliters,35238,39499,151348,f
20,1ml-of-15mg-ml,39833,vial,ketorolac,manual,ketorolac 15 mg/mL injection solution,solution,15,milliliters,35238,39499,151348,f
20,1ml-of-15mg-ml,39833,vial,toradol,manual,ketorolac 15 mg/mL injection solution,solution,15,milliliters,35238,39499,151348,f
30,5mg-10mg,27193,capsule,lotrel,manual,Lotrel 5 mg-10 mg capsule,capsule,5-10,each,33092,23769,151400,f
473,2.5mg-5ml,35797,elixir,fluphenazine,manual,fluphenazine 2.5 mg/5 mL oral elixir,elixir,2.5,milliliters,14580,3821,151461,f
473,2.5mg-5ml,35797,elixir,fluphenazine,manual,fluphenazine 2.5 mg/5 mL oral elixir,elixir,2.5,milliliters,14580,3821,151461,f
473,2.5mg-5ml,35797,elixir,prolixin,manual,fluphenazine 2.5 mg/5 mL oral elixir,elixir,2.5,milliliters,14580,3821,151461,f
60,10mg,592,tablet,visken,manual,pindolol 10 mg tablet,tablet,10,each,20680,5143,151656,f
60,10mg,592,tablet,visken,manual,pindolol 10 mg tablet,tablet,10,each,20680,5143,151656,f
60,1mg,8664,tablet,robinul,manual,glycopyrrolate 1 mg tablet,tablet,1,each,19130,4887,151671,f
90,25mg,259,tablet,mellaril,manual,thioridazine 25 mg tablet,tablet,25,each,14880,3864,151677,f
90,25mg,259,tablet,mellaril,manual,thioridazine 25 mg tablet,tablet,25,each,14880,3864,151677,f
60,160mg,32651,tablet,betapace,manual,sotalol 160 mg tablet,tablet,160,each,39511,13497,151807,f
60,160mg,32651,tablet,betapace-af,manual,sotalol 160 mg tablet,tablet,160,each,39511,13497,151807,f
60,160mg,32651,tablet,betapace,manual,sotalol 160 mg tablet,tablet,160,each,39511,13497,151807,f
60,160mg,32651,tablet,betapace-af,manual,sotalol 160 mg tablet,tablet,160,each,39511,13497,151807,f
946,100mg-5ml,41268,liquid,iophen-nr,gcn_expansion,Guaifenesin NR 100 mg/5 mL oral liquid,liquid,100,milliliters,2512,22210,151815,f
30,40mg,247,capsule,fluoxetine,manual,fluoxetine 40 mg capsule,capsule,40,each,16355,46215,151828,f
30,40mg,247,capsule,fluoxetine,manual,fluoxetine 40 mg capsule,capsule,40,each,16355,46215,151828,f
12,1ml-of-25mg-ml,36153,vial,hydroxyzine-hydrochloride,manual,hydroxyzine HCl 25 mg/mL intramuscular solution,solution,25,milliliters,13881,3723,151877,f
12,1ml-of-25mg-ml,36153,vial,atarax,manual,hydroxyzine HCl 25 mg/mL intramuscular solution,solution,25,milliliters,13881,3723,151877,f
12,1ml-of-25mg-ml,36153,vial,hydroxyzine-hydrochloride,manual,hydroxyzine HCl 25 mg/mL intramuscular solution,solution,25,milliliters,13881,3723,151877,f
12,1ml-of-25mg-ml,36153,vial,atarax,manual,hydroxyzine HCl 25 mg/mL intramuscular solution,solution,25,milliliters,13881,3723,151877,f
60,5mg,28178,tablet,micronase,manual,Micronase 5 mg tablet,tablet,5,each,5712,1775,151931,f
60,5mg,28178,tablet,micronase,manual,Micronase 5 mg tablet,tablet,5,each,5712,1775,151931,f
90,10mg,192,tablet,lisinopril,gcn_expansion,Zestril 10 mg tablet,tablet,10,each,47261,390,151988,f
90,10mg,192,tablet,prinivil,gcn_expansion,Zestril 10 mg tablet,tablet,10,each,47261,390,151988,f
90,10mg,192,tablet,zestril,gcn_expansion,Zestril 10 mg tablet,tablet,10,each,47261,390,151988,f
90,10mg,192,tablet,lisinopril,gcn_expansion,Zestril 10 mg tablet,tablet,10,each,47261,390,151988,f
60,97.2mg,5254,tablet,luminal,manual,phenobarbital 97.2 mg tablet,tablet,97.2,each,97967,27613,151997,f
60,97.2mg,5254,tablet,luminal,manual,phenobarbital 97.2 mg tablet,tablet,97.2,each,97967,27613,151997,f
60,97.2mg,5254,tablet,phenobarbital,manual,phenobarbital 97.2 mg tablet,tablet,97.2,each,97967,27613,151997,f
30,10mg,58,tablet,flexeril,manual,cyclobenzaprine 10 mg tablet,tablet,10,each,18020,4681,152028,f
30,10mg,58,tablet,cyclobenzaprine,manual,cyclobenzaprine 10 mg tablet,tablet,10,each,18020,4681,152028,f
30,10mg,58,tablet,flexeril,manual,cyclobenzaprine 10 mg tablet,tablet,10,each,18020,4681,152028,f
90,100mg,43051,tablet,glyset,manual,miglitol 100 mg tablet,tablet,100,each,95254,40359,152132,f
90,10mg,6737,tablet,cortef,gcn_expansion,Hydrocortone 10 mg tablet,tablet,10,each,26781,6703,152239,f
90,10mg,6737,tablet,hydrocortisone,gcn_expansion,Hydrocortone 10 mg tablet,tablet,10,each,26781,6703,152239,f
90,10mg,6737,tablet,cortef,gcn_expansion,Hydrocortone 10 mg tablet,tablet,10,each,26781,6703,152239,f
90,10mg,6737,tablet,hydrocortisone,gcn_expansion,Hydrocortone 10 mg tablet,tablet,10,each,26781,6703,152239,f
90,37.5mg-25mg,12678,tablet,maxzide,manual,Maxzide-25mg 37.5 mg-25 mg tablet,tablet,37.5-25,each,88741,8176,152246,f
60,80mg,34087,capsule,geodon,manual,ziprasidone 80 mg capsule,capsule,80,each,13334,47568,152293,f
1,45g-of-0.1%25,34959,tube-of-cream,retin-a,manual,tretinoin 0.1 % topical cream,cream,0.1,grams,22881,5801,152312,t
1,45g-of-0.1%25,34959,tube-of-cream,tretinoin,manual,tretinoin 0.1 % topical cream,cream,0.1,grams,22881,5801,152312,t
1,45g-of-0.1%25,34959,tube-of-cream,avita,manual,tretinoin 0.1 % topical cream,cream,0.1,grams,22881,5801,152312,t
30,1ml-of-100mcg-ml,6627,vial,octreotide,manual,octreotide acetate 100 mcg/mL injection solution,solution,100,milliliters,24221,6585,152333,f
30,7.5mg,1026,tablet,warfarin,manual,Coumadin 7.5 mg tablet,tablet,7.5,each,25795,6563,152334,f
30,100mg,8709,capsule,hydroxyzine-pamoate,manual,hydroxyzine pamoate 100 mg capsule,capsule,100,each,13951,3730,152352,f
60,7.5mg,4106,tablet,buspar,manual,Vanspar 7.5 mg tablet,tablet,7.5,each,13037,47644,152357,f
60,7.5mg,4106,tablet,buspirone,manual,Vanspar 7.5 mg tablet,tablet,7.5,each,13037,47644,152357,f
60,7.5mg,4106,tablet,buspar,manual,Vanspar 7.5 mg tablet,tablet,7.5,each,13037,47644,152357,f
30,300mg,4248,capsule,clindamycin,manual,Cleocin HCl 300 mg capsule,capsule,300,each,40832,9340,152366,f
30,300mg,4248,capsule,cleocin,manual,Cleocin HCl 300 mg capsule,capsule,300,each,40832,9340,152366,f
40,250mg,46,tablet,penicillin-v-potassium,manual,Ledercillin VK 250 mg tablet,tablet,250,each,39053,8879,152377,f
40,250mg,46,tablet,veetids,manual,Ledercillin VK 250 mg tablet,tablet,250,each,39053,8879,152377,f
40,250mg,46,tablet,penicillin-v-potassium,manual,Ledercillin VK 250 mg tablet,tablet,250,each,39053,8879,152377,f
40,250mg,46,tablet,veetids,manual,Ledercillin VK 250 mg tablet,tablet,250,each,39053,8879,152377,f
90,10mg,692,tablet,monopril,manual,fosinopril 10 mg tablet,tablet,10,each,48581,16017,152422,f
90,10mg,692,tablet,fosinopril,manual,fosinopril 10 mg tablet,tablet,10,each,48581,16017,152422,f
90,10mg,692,tablet,monopril,manual,fosinopril 10 mg tablet,tablet,10,each,48581,16017,152422,f
25,3ml-of-2.5mg-3ml,35126,vial,albuterol,gcn_expansion,Airet 2.5 mg/3 mL (0.083 %) solution for nebulization,solution for nebulization,2.5 mg,milliliters,41681,5039,152521,f
25,3ml-of-2.5mg-3ml,35126,vial,albuterol,gcn_expansion,Airet 2.5 mg/3 mL (0.083 %) solution for nebulization,solution for nebulization,2.5 mg,milliliters,41681,5039,152521,f
1,2.5ml-of-10mg-ml,32945,nasal-spray,stadol,manual,butorphanol tartrate 10 mg/mL nasal spray,"spray,non-aerosol",10,milliliters,20351,16674,152664,f
1,2.5ml-of-10mg-ml,32945,nasal-spray,butorphanol,manual,butorphanol tartrate 10 mg/mL nasal spray,"spray,non-aerosol",10,milliliters,20351,16674,152664,f
30,500mg,7911,capsule,amoxil,manual,amoxicillin 500 mg capsule,capsule,500,each,39661,8996,152729,f
30,500mg,7911,capsule,amoxicillin,manual,amoxicillin 500 mg capsule,capsule,500,each,39661,8996,152729,f
90,1mg,5094,tablet,mirapex,manual,pramipexole 1 mg tablet,tablet,1,each,19871,31779,152772,f
