,gcn,med_id,gcn_seqno,pharmacy_network_id,pharmacy_network_name,in_consideration,in_consideration_reason,fills,margin,orders,revenue,users,gcn_gppd,hicl_desc,brand_med_name,strength,form,default_quantity,blink_hicl_rank,top_30ds_quantity,top_90ds_quantity,edlp_unit_price,bsd_unit_price,hd_unit_price,edlp_fixed_price,bsd_fixed_price,hd_fixed_price,bh01_mac_price,bh02_mac_price,bh03_mac_price,wmt_mac_price,hd_syr_mac_price,bh01_dispensing_fee,bh02_dispensing_fee,bh03_dispensing_fee,wmt_dispensing_fee,hd_syr_dispensing_fee,wmt_2018_11_28_qty1,wmt_2018_11_28_qty2,wmt_2018_11_28_price1,wmt_2018_11_28_price2,wmt_2018_11_28_flg,last_30ds_qty,last_90ds_qty,min_grx_30ds,min_grx_90ds,min_major_retail_grx_30ds,min_major_retail_grx_90ds,min_retail_grx_30ds,min_retail_grx_90ds,last_30ds_qty_scrape_date,ltd_30_day_scripts,ltd_90_day_scripts,ltd_30_day_scripts_pct,ltd_90_day_scripts_pct,r30_30_day_scripts,r30_90_day_scripts,r30_30_day_script_pct,r30_90_day_script_pct,output_unit_price,output_fixed_price,output_current_def_qty_price,output_new_def_qty_price,output_comment
10,32480,286502,364,1,blink,True,N/A,8,-340.0332,8,122.9368,5,32480.0,guanfacine hcl,Tenex,1 MG,TABLET,30.0,157.0,30.0,90.0,0.192768,0.088108,,2.355255,1.096754,,0.72539,0.69219,0.59989,1.48261,0.48262,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,11.78,22.84,10.52,10.02,2020-01-03,402.0,64.0,0.862660944206009,0.137339055793991,12.0,1.0,0.923076923076923,0.923076923076923,0.9281035,1.0,8.138295,28.843104999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
11,32480,251749,364,2,supersaver,True,N/A,9,-765.35289,9,112.95711,6,32480.0,guanfacine hcl,Tenex,1 MG,TABLET,30.0,157.0,30.0,90.0,0.192768,0.088108,,2.355255,1.096754,,0.72539,0.69219,0.59989,1.48261,0.48262,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,11.78,22.84,10.52,10.02,2020-01-03,402.0,64.0,0.862660944206009,0.137339055793991,12.0,1.0,0.923076923076923,0.923076923076923,0.72539,1.0,3.7399940000000003,22.761699999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
12,21817,467914,54009,2,supersaver,True,N/A,15,-467.65778,15,215.16222,9,21817.0,mirtazapine,,7.5 MG,TABLET,30.0,78.0,30.0,90.0,2.470179,0.411062,1.193333,2.153544,0.368037,2.9,1.26385,1.2133,1.05486,2.66367,0.86708,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,13.17,24.08,27.48,64.63,13.17,24.08,2020-01-03,170.0,6.0,0.965909090909091,0.0340909090909091,6.0,0.0,1.0,1.0,1.26385,1.0,12.699896999999998,38.915499999999994,NON-WMT Drug; Margin -VE; Raising to MAC Prices
13,18996,453503,51657,1,blink,False,Last Started Date : 2019-12-13,347,-1894.76723,347,10644.12277,282,18996.0,tadalafil,Cialis,20 MG,TABLET,6.0,58.0,10.0,90.0,8.325,,4.99167,0.0,,0.0,1.62043,1.54551,1.33909,3.30371,1.07542,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,5036.0,146.0,0.971825549980702,0.0281744500192976,1574.0,22.0,0.986215538847118,0.986215538847118,8.325,0.0,49.949999999999996,49.949999999999996,No Change
14,18996,453512,51657,1,blink,False,Last Started Date : 2019-12-13,722,-4063.59893,722,23187.27107,577,18996.0,tadalafil,Cialis,20 MG,TABLET,6.0,58.0,10.0,90.0,8.325,,4.99167,0.0,,0.0,1.62043,1.54551,1.33909,3.30371,1.07542,1.0,1.0,1.0,1.0,1.5,,,,,,,,,,,,,,,5036.0,146.0,0.971825549980702,0.0281744500192976,1574.0,22.0,0.986215538847118,0.986215538847118,8.325,0.0,49.949999999999996,49.949999999999996,No Change
15,16393,239308,46243,1,blink,True,N/A,141,-360.47,141,860.4,96,16393.0,trazodone hcl,Desyrel,150 MG,TABLET,30.0,41.0,30.0,90.0,0.1,0.097989,0.0875,0.9,0.760332,0.875,0.20814,0.19916,0.17286,0.10333,0.14045,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2020-01-03,2598.0,683.0,0.79183175861018,0.20816824138982,65.0,40.0,0.619047619047619,0.619047619047619,0.1,1.0,3.9,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
16,16393,239308,46243,2,supersaver,True,N/A,72,-511.41983,72,532.44017,47,16393.0,trazodone hcl,Desyrel,150 MG,TABLET,30.0,41.0,30.0,90.0,0.1,0.097989,0.0875,0.9,0.760332,0.875,0.20814,0.19916,0.17286,0.10333,0.14045,1.0,1.0,1.0,1.0,1.5,30.0,90.0,4.0,10.0,1.0,30.0,90.0,4.0,10.0,4.0,10.0,4.0,10.0,2020-01-03,2598.0,683.0,0.79183175861018,0.20816824138982,65.0,40.0,0.619047619047619,0.619047619047619,0.1,1.0,3.700002,4.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
17,47125,229173,22650,1,blink,True,N/A,37,-479.76333,37,657.11667,28,47125.0,terazosin hcl,Hytrin,2 MG,CAPSULE,90.0,163.0,30.0,90.0,0.171582,0.08666,,2.317531,1.190192,,0.21718,0.20802,0.18065,0.45257,0.14732,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,10.83,28.17,4.0,10.0,2020-01-03,328.0,349.0,0.484490398818316,0.515509601181684,5.0,10.0,0.333333333333333,0.333333333333333,0.28071725,1.0,17.759911000000002,26.264552499999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
18,10810,155744,13318,1,blink,True,N/A,842,-582.98928,842,5019.63072,641,10810.0,metformin hcl,Glucophage,500 MG,TABLET,60.0,8.0,60.0,180.0,0.026585,0.026585,0.0495,2.404905,2.404905,0.99,0.03724,0.0339,0.02863,0.05167,0.0189,1.0,1.0,1.0,1.0,1.5,60.0,180.0,4.0,10.0,1.0,60.0,180.0,2.99,7.37,4.0,8.62,2.99,7.37,2020-01-03,20485.0,11993.0,0.63073465114847,0.36926534885153,469.0,319.0,0.595177664974619,0.595177664974619,0.05,1.0,4.000005,4.0,WMT 4/10|9/24 Drug; Dropping to WMT Prices
19,10810,155744,13318,3,delivery,False,Last Started Date : 2020-01-03,1007,-3801.89,1007,39.6,590,10810.0,metformin hcl,Glucophage,500 MG,TABLET,60.0,8.0,60.0,180.0,0.026585,0.026585,0.0495,2.404905,2.404905,0.99,0.03724,0.0339,0.02863,0.05167,0.0189,1.0,1.0,1.0,1.0,1.5,60.0,180.0,4.0,10.0,1.0,60.0,180.0,2.99,7.37,4.0,8.62,2.99,7.37,2020-01-03,20485.0,11993.0,0.63073465114847,0.36926534885153,469.0,319.0,0.595177664974619,0.595177664974619,0.0495,0.99,3.96,3.96,No Change
20,16818,244490,46405,1,blink,True,N/A,372,-734.20718,372,5363.34282,259,16818.0,venlafaxine hcl,Effexor XR,150 MG,CAP ER 24H,30.0,16.0,30.0,90.0,0.25,0.25,,1.4,1.4,,0.34036,0.32538,0.28228,0.70236,0.22863,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,9.0,24.0,9.0,24.0,9.0,24.0,2020-01-03,19816.0,4326.0,0.820810206279513,0.179189793720487,304.0,118.0,0.720379146919431,0.720379146919431,0.25,1.5,8.9,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
21,16818,193691,46405,1,blink,True,N/A,550,-1134.49,550,8738.0,375,16818.0,venlafaxine hcl,Effexor XR,150 MG,CAP ER 24H,30.0,16.0,30.0,90.0,0.25,0.25,,1.4,1.4,,0.34036,0.32538,0.28228,0.70236,0.22863,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,9.0,24.0,9.0,24.0,9.0,24.0,2020-01-03,19816.0,4326.0,0.820810206279513,0.179189793720487,304.0,118.0,0.720379146919431,0.720379146919431,0.25,1.5,8.9,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
22,16818,193691,46405,2,supersaver,True,N/A,133,-500.98,133,2094.45,90,16818.0,venlafaxine hcl,Effexor XR,150 MG,CAP ER 24H,30.0,16.0,30.0,90.0,0.25,0.25,,1.4,1.4,,0.34036,0.32538,0.28228,0.70236,0.22863,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,9.0,24.0,9.0,24.0,9.0,24.0,2020-01-03,19816.0,4326.0,0.820810206279513,0.179189793720487,304.0,118.0,0.720379146919431,0.720379146919431,0.25,1.5,8.9,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
23,13844,299225,48400,2,supersaver,True,N/A,45,-531.6967,45,970.2433,29,13844.0,valsartan,Diovan,160 MG,TABLET,30.0,71.0,30.0,90.0,0.507827,0.295071,0.515,4.427299,2.604288,2.95,0.49098,0.47045,0.40862,1.02501,0.33366,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,16.94,34.82,22.62,40.36,16.94,34.82,2020-01-03,3231.0,1153.0,0.736998175182482,0.263001824817518,41.0,16.0,0.719298245614035,0.719298245614035,0.49098,1.0,11.456418000000001,15.7294,NON-WMT Drug; Margin -VE; Raising to MAC Prices
24,16513,217519,46044,2,supersaver,True,N/A,15,-378.96976,15,162.07024,11,16513.0,amitriptyline hcl,Elavil,100 MG,TABLET,30.0,93.0,30.0,90.0,1.474421,0.505,0.82,2.405879,4.8,3.0,0.69737,0.66852,0.58079,1.45924,0.47501,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,20.0,48.0,21.0,56.11,20.0,48.0,2020-01-03,640.0,248.0,0.720720720720721,0.279279279279279,22.0,4.0,0.846153846153846,0.846153846153846,0.69737,1.0,19.95,21.921100000000003,NON-WMT Drug; Margin -VE; Raising to MAC Prices
25,16513,288365,46044,2,supersaver,True,N/A,81,-2525.97869,81,1328.66131,60,16513.0,amitriptyline hcl,Elavil,100 MG,TABLET,30.0,93.0,30.0,90.0,1.474421,0.505,0.82,2.405879,4.8,3.0,0.69737,0.66852,0.58079,1.45924,0.47501,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,20.0,48.0,21.0,56.11,20.0,48.0,2020-01-03,640.0,248.0,0.720720720720721,0.279279279279279,22.0,4.0,0.846153846153846,0.846153846153846,0.69737,1.0,19.95,21.921100000000003,NON-WMT Drug; Margin -VE; Raising to MAC Prices
26,92121,239455,44210,2,supersaver,True,N/A,48,-347.25456,48,1147.43544,28,92121.0,buspirone hcl,BuSpar,30 MG,TABLET,60.0,69.0,60.0,180.0,0.84019,0.267395,0.419167,2.933675,1.176327,3.05,0.32725,0.31378,0.27263,0.68552,0.22315,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,180.0,25.05,59.16,32.45,65.34,25.05,59.16,2020-01-03,1143.0,92.0,0.925506072874494,0.0744939271255061,40.0,5.0,0.888888888888889,0.888888888888889,0.32725,1.0,17.220027,20.634999999999998,NON-WMT Drug; Margin -VE; Raising to MAC Prices
27,45062,195418,21140,1,blink,True,N/A,72,-1158.46299,72,1078.58701,53,45062.0,bisoprolol/hydrochlorothiazide,Ziac,5-6.25MG,TABLET,30.0,176.0,30.0,90.0,0.200596,0.113602,,2.482127,0.341945,,0.52631,0.50291,0.43617,1.08331,0.35264,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,12.33,36.33,9.43,15.89,2020-01-03,629.0,535.0,0.540378006872852,0.459621993127148,21.0,23.0,0.477272727272727,0.477272727272727,0.6758804999999999,1.0,8.500007,21.276414999999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
28,45062,195418,21140,2,supersaver,True,N/A,27,-1108.35089,27,264.26911,23,45062.0,bisoprolol/hydrochlorothiazide,Ziac,5-6.25MG,TABLET,30.0,176.0,30.0,90.0,0.200596,0.113602,,2.482127,0.341945,,0.52631,0.50291,0.43617,1.08331,0.35264,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,4.0,10.0,12.33,36.33,9.43,15.89,2020-01-03,629.0,535.0,0.540378006872852,0.459621993127148,21.0,23.0,0.477272727272727,0.477272727272727,0.52631,1.0,3.750005,16.789299999999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
29,18010,234935,4679,2,supersaver,True,N/A,137,-1665.46122,137,1152.89878,99,18010.0,baclofen,Lioresal,10 MG,TABLET,90.0,115.0,90.0,270.0,0.280073,0.14839,0.132778,2.970265,0.7029,2.85,0.13072,0.12405,0.10719,0.25958,0.0845,1.0,1.0,1.0,1.0,1.5,,,,,,90.0,270.0,10.0,29.0,25.47,42.48,14.2,33.6,2020-01-03,3536.0,371.0,0.905042231891477,0.0949577681085232,72.0,9.0,0.888888888888889,0.888888888888889,0.14839,0.7029,14.058,14.058,No Change
30,23933,472870,58488,2,supersaver,True,N/A,5,-312.8629,5,292.0571,3,23933.0,carbamazepine,Carbatrol,300 MG,CPMP 12HR,60.0,212.0,60.0,180.0,1.016949,0.711564,0.921667,4.124154,2.909425,3.0,1.5409,1.47982,1.28682,3.2537,1.05915,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,180.0,35.7,89.93,35.94,89.93,35.7,89.93,2020-01-03,67.0,3.0,0.957142857142857,0.0428571428571429,3.0,1.0,0.75,0.75,1.5409,1.0,45.603265,93.454,NON-WMT Drug; Margin -VE; Raising to MAC Prices
31,10811,191479,16441,3,delivery,False,Last Started Date : 2020-01-03,98,-528.437,98,1.683,62,10811.0,metformin hcl,Glucophage,850 MG,TABLET,60.0,8.0,60.0,180.0,0.032073,0.032073,0.0495,2.075591,2.075591,0.99,0.04902,0.04569,0.0391,0.05167,0.02871,1.0,1.0,1.0,1.0,1.5,60.0,180.0,4.0,10.0,1.0,60.0,180.0,2.94,8.04,4.0,9.99,2.94,8.04,2020-01-03,1793.0,1378.0,0.565436770734784,0.434563229265216,32.0,39.0,0.450704225352113,0.450704225352113,0.0495,0.99,3.96,3.96,No Change
32,17291,293765,4540,1,blink,True,N/A,60,-313.94027,60,1486.79973,39,17291.0,divalproex sodium,Depakote,500 MG,TABLET DR,60.0,92.0,60.0,180.0,0.247711,,0.149167,2.362153,,2.05,0.221242424242424,0.211277777777778,0.183547619047619,0.456611111111111,0.284290322580645,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,180.0,15.75,31.26,20.71,42.32,15.75,31.26,2020-01-03,2208.0,230.0,0.905660377358491,0.0943396226415094,40.0,7.0,0.851063829787234,0.851063829787234,0.2845090909090907,1.0,17.224813,18.070545454545442,NON-WMT Drug; Margin -VE; Raising to MAC Prices
33,30357,565816,67738,1,blink,True,N/A,1,-1034.72921,1,7145.66079,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-WMT Drug; Margin -VE; Raising to MAC Prices
34,43721,163181,29968,1,blink,True,N/A,930,-521.93597,930,13817.45403,757,43721.0,atorvastatin calcium,Lipitor,20 MG,TABLET,30.0,3.0,30.0,90.0,0.163333,0.131,0.141667,3.8,4.06,2.74,0.13129,0.1241,0.10701,0.25531,0.08311,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,8.16,13.93,15.0,33.3,8.16,13.93,2020-01-03,21182.0,15774.0,0.573168091784825,0.426831908215175,358.0,432.0,0.453164556962025,0.453164556962025,0.25,1.5,8.69999,9.0,WMT 4/10|9/24 Drug; Raising to WMT Prices
35,56973,158986,5001,2,supersaver,True,N/A,366,-2000.40984,366,12287.82016,217,56973.0,dextroamphetamine/amphetamine,Adderall,20 MG,TABLET,60.0,18.0,60.0,90.0,0.780018,0.493399,,4.347106,2.778982,,0.60388,0.57515,0.49796,1.22227,0.39788,1.0,1.0,1.0,1.0,1.5,,,,,,60.0,90.0,31.84,43.15,32.9,45.2,31.84,43.15,2020-01-03,19431.0,244.0,0.987598475222363,0.0124015247776366,301.0,3.0,0.990131578947368,0.990131578947368,0.60388,1.0,32.382922,37.2328,NON-WMT Drug; Margin -VE; Raising to MAC Prices
36,23831,239555,40910,2,supersaver,True,N/A,21,-384.81619,21,803.24381,16,23831.0,telmisartan,Micardis,40 MG,TABLET,30.0,151.0,30.0,90.0,0.844701,0.560849,0.633333,2.668277,1.794524,3.3,0.76821,0.73445,0.63717,1.58564,0.51616,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,17.78,37.33,37.37,76.12,17.78,37.33,2020-01-03,743.0,320.0,0.698965192850423,0.301034807149577,30.0,6.0,0.833333333333333,0.833333333333333,0.76821,1.0,18.619994000000002,24.0463,NON-WMT Drug; Margin -VE; Raising to MAC Prices
37,23831,239555,40910,1,blink,True,N/A,71,-859.96037,71,2938.94963,42,23831.0,telmisartan,Micardis,40 MG,TABLET,30.0,151.0,30.0,90.0,0.844701,0.560849,0.633333,2.668277,1.794524,3.3,0.76821,0.73445,0.63717,1.58564,0.51616,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,17.78,37.33,37.37,76.12,17.78,37.33,2020-01-03,743.0,320.0,0.698965192850423,0.301034807149577,30.0,6.0,0.833333333333333,0.833333333333333,0.9879749999999999,1.0,28.009307,30.639249999999997,NON-WMT Drug; Margin -VE; Raising to MAC Prices
38,97400,547330,61614,1,blink,True,N/A,12,-442.70388,12,5018.13612,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-WMT Drug; Margin -VE; Raising to MAC Prices
39,23162,471239,57892,1,blink,False,Last Started Date : 2020-01-03,439,-430.18819,439,8048.38181,309,23162.0,duloxetine hcl,Cymbalta,30 MG,CAPSULE DR,30.0,6.0,30.0,90.0,0.2695,0.2068,0.2067,5.5471,4.7475,4.748,0.22415,0.21437,0.186,0.46338,0.15084,1.0,1.0,1.0,1.0,1.5,30.0,90.0,9.0,24.0,1.0,30.0,90.0,12.65,21.76,15.0,38.0,12.83,21.76,2020-01-03,20458.0,3014.0,0.871591683708248,0.128408316291752,332.0,89.0,0.788598574821853,0.788598574821853,0.2695,5.5471,13.632100000000001,13.632100000000001,No Change
40,15738,556806,64594,2,supersaver,True,N/A,4,-521.70166,4,374.67834,2,15738.0,ropinirole hcl,Requip XL,12 MG,TAB ER 24H,30.0,87.0,30.0,90.0,8.556687,2.073305,7.796667,1.504804,0.370862,12.3,5.14166,4.91228,4.26001,10.57479,3.44231,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,75.87,212.11,75.87,212.11,75.87,212.11,2020-01-03,7.0,2.0,0.777777777777778,0.222222222222222,1.0,0.0,1.0,1.0,5.14166,1.0,62.570012,155.2498,NON-WMT Drug; Margin -VE; Raising to MAC Prices
41,43723,158585,45772,2,supersaver,True,N/A,202,-970.73968,202,1744.51032,159,43723.0,atorvastatin calcium,Lipitor,80 MG,TABLET,30.0,3.0,30.0,90.0,0.187667,0.17,0.141667,4.36,0.65,2.74,0.19634,0.18825,0.16355,0.41111,0.13382,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,11.9,20.74,14.73,32.48,11.9,20.74,2020-01-03,10610.0,6702.0,0.612869685767098,0.387130314232902,227.0,215.0,0.513574660633484,0.513574660633484,0.19634,1.0,5.750000000000001,6.890199999999999,NON-WMT Drug; Margin -VE; Raising to MAC Prices
42,43723,158585,45772,1,blink,True,N/A,548,-1348.73311,548,8369.13689,399,43723.0,atorvastatin calcium,Lipitor,80 MG,TABLET,30.0,3.0,30.0,90.0,0.187667,0.17,0.141667,4.36,0.65,2.74,0.19634,0.18825,0.16355,0.41111,0.13382,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,11.9,20.74,14.73,32.48,11.9,20.74,2020-01-03,10610.0,6702.0,0.612869685767098,0.387130314232902,227.0,215.0,0.513574660633484,0.513574660633484,0.187667,4.36,9.990010000000002,9.990010000000002,No Change
43,43723,181235,45772,2,supersaver,True,N/A,64,-369.51699,64,571.43301,51,43723.0,atorvastatin calcium,Lipitor,80 MG,TABLET,30.0,3.0,30.0,90.0,0.187667,0.17,0.141667,4.36,0.65,2.74,0.19634,0.18825,0.16355,0.41111,0.13382,1.0,1.0,1.0,1.0,1.5,,,,,,30.0,90.0,11.9,20.74,14.73,32.48,11.9,20.74,2020-01-03,10610.0,6702.0,0.612869685767098,0.387130314232902,227.0,215.0,0.513574660633484,0.513574660633484,0.19634,1.0,5.750000000000001,6.890199999999999,NON-WMT Drug; Margin -VE; Raising to MAC Prices
