medication,strength,form,units,price
solifenacin-succinate-vesicare,10 mg,Tablet,30,19
solifenacin-succinate-vesicare,10 mg,Tablet,60,37
solifenacin-succinate-vesicare,10 mg,Tablet,90,54
solifenacin-succinate-vesicare,10 mg,Tablet,15,10
isosorbide-dinitrate-isordil,10 mg,Tablet,30,15
isosorbide-dinitrate-isordil,10 mg,Tablet,60,29
isosorbide-dinitrate-isordil,10 mg,Tablet,90,42
isosorbide-dinitrate-isordil,10 mg,Tablet,180,80
isosorbide-dinitrate-isordil,20 mg,Tablet,30,15
isosorbide-dinitrate-isordil,20 mg,Tablet,60,29
isosorbide-dinitrate-isordil,20 mg,Tablet,90,42
isosorbide-dinitrate-isordil,20 mg,Tablet,180,80
norethindrone-acet-estradiol-activella,0.5/1mg,Tablet,28,69
norethindrone-acet-estradiol-activella,0.5/1mg,Tablet,56,135
norethindrone-acet-estradiol-activella,0.5/1mg,Tablet,84,200
urogesic-blue,81.6mg/0.12mg,Tablet,30,122
urogesic-blue,81.6mg/0.12mg,Tablet,60,240
urogesic-blue,81.6mg/0.12mg,Tablet,90,355
verapamil-calan,240 mg,Capsule,30,48
verapamil-calan,240 mg,Capsule,60,94
verapamil-calan,240 mg,Capsule,90,140
brinzolamide-azopt,0.1%/10 ml,Suspension Eye Drop,1,330
budesonide-pulmicort-flx-inhaler,180mcg,Inhaler,1,251
amantadine-symadine,100 mg,Tablet,30,9
amantadine-symadine,100 mg,Tablet,60,17
amantadine-symadine,100 mg,Tablet,90,25
chlorzoxazone-parafon-forte-dsc,500 mg,Tablet,30,9
chlorzoxazone-parafon-forte-dsc,500 mg,Tablet,60,18
chlorzoxazone-parafon-forte-dsc,500 mg,Tablet,90,26
minocycline-minocin-tabs,50 mg,Tablet,30,49
minocycline-minocin-tabs,50 mg,Tablet,60,96
minocycline-minocin-tabs,50 mg,Tablet,90,143
sodium-fluoride-prevident-5000pls,1.1%/51gm,Cream Tube,1,8
sodium-fluoride-prevident-5000pls,1.1%/51gm,Cream Tube,3,22
clindamycin-benzoyl-benzaclin,1/5% 50mg,Gel,1,140
clindamycin-benzoyl-benzaclin,1/5% 50mg,Gel,3,410
clobetasol-propionate,0.05%/60 gm,Ointment,1,20
clobetasol-propionate,0.05%/60 gm,Ointment,3,58
junel-fe-24,1 mg/20 mcg,Tablet,28,36
junel-fe-24,1 mg/20 mcg,Tablet,84,102
dilt-xr-diltiazem-er-dilacor-xr,120 mg,Capsule,30,14
dilt-xr-diltiazem-er-dilacor-xr,120 mg,Capsule,90,40
dilt-xr-diltiazem-er-dilacor-xr,180 mg,Capsule,30,15
dilt-xr-diltiazem-er-dilacor-xr,180 mg,Capsule,90,42
dilt-xr-diltiazem-er-dilacor-xr,240 mg,Capsule,30,21
dilt-xr-diltiazem-er-dilacor-xr,240 mg,Capsule,90,60
trospium-chloride-er,60 mg,Capsule Er,30,147
albuterol-sulfate-inhalation-solution, 0.083% 2.5mg/3ml,Inhalation Solution,25,7
albuterol-sulfate-inhalation-solution, 0.083% 2.5mg/3ml,Inhalation Solution,30,9
nystatin-mycostatin-oral-suspension,100mu/473mls,Suspension,1,34
proair-hfa-inhaler-brand,90 mcg/8.5 gm,Inhaler,1,70
proair-hfa-inhaler-brand,90 mcg/8.5 gm,Inhaler,3,200
albuterol-sulfate-hfa-inhaler-generic-for-proventil,90 mcg/6.7 gm,Inhaler,1,45
albuterol-sulfate-hfa-inhaler-generic-for-proventil,90 mcg/6.7 gm,Inhaler,3,130
albuterol-sulfate-hfa-inhaler-generic-for-ventolin,90 mcg/18 gm,Inhaler,1,48
albuterol-sulfate-hfa-inhaler-generic-for-ventolin,90 mcg/18 gm,Inhaler,3,135
albuterol-sulfate-hfa-inhaler-generic-for-proair,90 mcg/8.5 gm,Inhaler,1,40
albuterol-sulfate-hfa-inhaler-generic-for-proair,90 mcg/8.5 gm,Inhaler,3,110
lidocaine-prilocaine-elma,2.5/ 2.5mg,Cream,30,9
lidocaine-prilocaine-elma,2.5/ 2.5mg,Cream,90,26
midodrine-proamatine,2.5 mg,Tablet,30,13
midodrine-proamatine,2.5 mg,Tablet,60,25
midodrine-proamatine,2.5 mg,Tablet,90,37
midodrine-proamatine,5 mg,Tablet,30,15
midodrine-proamatine,5 mg,Tablet,60,29
midodrine-proamatine,5 mg,Tablet,90,45
midodrine-proamatine,10 mg,Tablet,30,27
midodrine-proamatine,10 mg,Tablet,60,52
midodrine-proamatine,10 mg,Tablet,90,78
ranolazine-ranexa,500 mg,Tablet,30,40
ranolazine-ranexa,500 mg,Tablet,60,78
ranolazine-ranexa,500 mg,Tablet,90,115
ranolazine-ranexa,1000 mg,Tablet,30,40
ranolazine-ranexa,1000 mg,Tablet,60,78
ranolazine-ranexa,1000 mg,Tablet,90,115
pentoxifylline,400 mg,Tablet Er,30,6
pentoxifylline,400 mg,Tablet Er,60,12
pentoxifylline,400 mg,Tablet Er,90,17
proctozone-hc-cream-2-5,2.5%/30 gm,Cream,1,14
proctozone-hc-cream-2-5,2.5%/30 gm,Cream,3,40
levonorgestrel-eth-estradiol,0.09-0.02mg,Tablet,28,29
levonorgestrel-eth-estradiol,0.09-0.02mg,Tablet,84,84
zyrtec-brand,10 mg,Tablet,30,22
trilyte,4000ml,Solution,1,14
ventolinhfa-brand,90 mcg/8 gm,Inhaler,1,29
ventolinhfa-brand,90 mcg/8 gm,Inhaler,3,87
ventolinhfa-brand,90 mcg/18 gm,Inhaler,1,63
ventolinhfa-brand,90 mcg/18 gm,Inhaler,3,183
zorvolex,50 mg,Tablet,30,10
zorvolex,50 mg,Tablet,60,19
zorvolex,50 mg,Tablet,90,28
escitalopram-lexapro,5 mg,Tablet,30,3
escitalopram-lexapro,5 mg,Tablet,60,5
escitalopram-lexapro,5 mg,Tablet,90,7
escitalopram-lexapro,10 mg,Tablet,30,3
escitalopram-lexapro,10 mg,Tablet,60,5
escitalopram-lexapro,10 mg,Tablet,90,7
escitalopram-lexapro,20 mg,Tablet,30,3
escitalopram-lexapro,20 mg,Tablet,60,5
escitalopram-lexapro,20 mg,Tablet,90,7
renvela,800 mg,Tablet,30,17
renvela,800 mg,Tablet,60,32
renvela,800 mg,Tablet,90,46
dostinex,0.5 mg,Tablet,8,27
dostinex,0.5 mg,Tablet,24,77
dostinex,0.5 mg,Tablet,16,53
entecavir-baraclude,0.5 mg,Tablet,30,38
entecavir-baraclude,0.5 mg,Tablet,60,74
entecavir-baraclude,0.5 mg,Tablet,90,106
entecavir-baraclude,1 mg,Tablet,30,44
entecavir-baraclude,1 mg,Tablet,60,84
entecavir-baraclude,1 mg,Tablet,90,120
hydroxyzine-pamoate-vistaril,25 mg,Capsule,30,6
hydroxyzine-pamoate-vistaril,50 mg,Capsule,30,6
hydroxyzine-pamoate-vistaril,100 mg,Capsule,30,6
hydroxyzine-pamoate-vistaril,25 mg,Capsule,60,11
hydroxyzine-pamoate-vistaril,50 mg,Capsule,60,11
hydroxyzine-pamoate-vistaril,100 mg,Capsule,60,11
hydroxyzine-pamoate-vistaril,25 mg,Capsule,90,16
hydroxyzine-pamoate-vistaril,50 mg,Capsule,90,16
hydroxyzine-pamoate-vistaril,100 mg,Capsule,90,16
hydroxyzine-hcl-atarax,10 mg,Tablet,30,3
hydroxyzine-hcl-atarax,25 mg,Tablet,30,3
hydroxyzine-hcl-atarax,50 mg,Tablet,30,3
hydroxyzine-hcl-atarax,10 mg,Tablet,60,6
hydroxyzine-hcl-atarax,25 mg,Tablet,60,6
hydroxyzine-hcl-atarax,50 mg,Tablet,60,6
hydroxyzine-hcl-atarax,10 mg,Tablet,120,9
hydroxyzine-hcl-atarax,25 mg,Tablet,120,9
hydroxyzine-hcl-atarax,50 mg,Tablet,120,9
hydroxyzine-hcl-atarax,10 mg,Tablet,90,8
hydroxyzine-hcl-atarax,25 mg,Tablet,90,8
hydroxyzine-hcl-atarax,50 mg,Tablet,90,8
zpak,250 mg/6 tablets,Tablet,1,7
zpak,250 mg/6 tablets,Tablet,3,14
bactrim,400 mg/80 mg,Tablet,20,4
bactrim,400 mg/80 mg,Tablet,30,5
bactrim,400 mg/80 mg,Tablet,60,10
bactrim,400 mg/80 mg,Tablet,100,16
zomig,2.5 mg,Tablet,6,14
zomig,2.5 mg,Tablet,12,27
zomig,2.5 mg,Tablet,18,41
zomig,5 mg,Tablet,3,14
zomig,5 mg,Tablet,6,27
zomig,5 mg,Tablet,9,41
zomig,5 mg,Tablet,12,51
zomig,2.5 mg,Tablet Odt,6,66.18
zomig,2.5 mg,Tablet Odt,12,132.36
zomig,2.5 mg,Tablet Odt,18,198.53
zomig,5 mg,Tablet Odt,3,15.76
zomig,5 mg,Tablet Odt,6,31.53
zomig,5 mg,Tablet Odt,9,47.29
zomig,2.5 mg,Tablet,9,20.25
zomig,2.5 mg,Tablet Odt,9,99.3
zoloft,25 mg,Tablet,30,4
zoloft,25 mg,Tablet,45,5
zoloft,25 mg,Tablet,60,7
zoloft,25 mg,Tablet,90,9
zoloft,50 mg,Tablet,30,5
zoloft,50 mg,Tablet,45,6
zoloft,50 mg,Tablet,60,7
zoloft,50 mg,Tablet,90,10
zoloft,50 mg,Tablet,180,16
zoloft,100 mg,Tablet,30,5
zoloft,100 mg,Tablet,45,6
zoloft,100 mg,Tablet,60,5
zoloft,100 mg,Tablet,90,7
zoloft,100 mg,Tablet,180,12
zofran,4 mg/5 ml/50 ml,Solution,1,16
zofran,4 mg/5 ml/50 ml,Solution,3,47
zofran,4 mg,Tablet,30,4
zofran,4 mg,Tablet,60,7
zofran,4 mg,Tablet,90,9
zofran,8 mg,Tablet,30,4
zofran,8 mg,Tablet,60,7
zofran,8 mg,Tablet,90,9
zofran,4 mg,Tablet Odt,30,4
zofran,4 mg,Tablet Odt,90,10
zofran,8 mg,Tablet Odt,30,4
zofran,8 mg,Tablet Odt,90,10
zocor,5 mg,Tablet,30,2
zocor,5 mg,Tablet,45,3
zocor,5 mg,Tablet,60,3
zocor,5 mg,Tablet,90,4
zocor,5 mg,Tablet,180,7
zocor,10 mg,Tablet,30,2
zocor,10 mg,Tablet,45,3
zocor,10 mg,Tablet,60,3
zocor,10 mg,Tablet,90,4
zocor,20 mg,Tablet,30,2
zocor,20 mg,Tablet,45,3
zocor,20 mg,Tablet,60,3
zocor,20 mg,Tablet,90,4
zocor,20 mg,Tablet,180,7
zocor,40 mg,Tablet,30,4
zocor,40 mg,Tablet,45,6
zocor,40 mg,Tablet,60,6
zocor,40 mg,Tablet,90,8
zocor,40 mg,Tablet,180,12
zocor,80 mg,Tablet,30,4
zocor,80 mg,Tablet,45,6
zocor,80 mg,Tablet,60,6
zocor,80 mg,Tablet,90,8
zocor,80 mg,Tablet,180,12
zocor,40 mg,Tablet,360,22
ziana,1.2/0.025%/30 gm,Gel,1,314
ziana,1.2/0.025%/30 gm,Gel,3,940
ziana,1.2/0.025%/60 gm,Gel,1,565
ziana,1.2/0.025%/60 gm,Gel,3,1694
ziac,2.5 mg/6.25 mg,Tablet,30,14
ziac,2.5 mg/6.25 mg,Tablet,60,26
ziac,2.5 mg/6.25 mg,Tablet,90,38
ziac,2.5 mg/6.25 mg,Tablet,180,74
ziac,5 mg/6.25 mg,Tablet,30,15
ziac,5 mg/6.25 mg,Tablet,60,28
ziac,5 mg/6.25 mg,Tablet,90,41
ziac,5 mg/6.25 mg,Tablet,180,81
ziac,10 mg/6.25 mg,Tablet,30,19
ziac,10 mg/6.25 mg,Tablet,60,37
ziac,10 mg/6.25 mg,Tablet,90,55
ziac,10 mg/6.25 mg,Tablet,180,108
zetia,10 mg,Tablet,30,9
zetia,10 mg,Tablet,60,17
zetia,10 mg,Tablet,90,25
zestril,2.5 mg,Tablet,30,2
zestril,2.5 mg,Tablet,60,3
zestril,2.5 mg,Tablet,90,4
zestril,2.5 mg,Tablet,180,7
zestril,5 mg,Tablet,30,2
zestril,5 mg,Tablet,60,3
zestril,5 mg,Tablet,90,4
zestril,5 mg,Tablet,180,7
zestril,10 mg,Tablet,30,2
zestril,10 mg,Tablet,60,3
zestril,10 mg,Tablet,90,4
zestril,10 mg,Tablet,180,7
zestril,20 mg,Tablet,30,4
zestril,20 mg,Tablet,60,7
zestril,20 mg,Tablet,90,9
zestril,20 mg,Tablet,180,12
zestril,30 mg,Tablet,30,4
zestril,30 mg,Tablet,60,7
zestril,30 mg,Tablet,90,9
zestril,30 mg,Tablet,180,12
zestril,40 mg,Tablet,30,4
zestril,40 mg,Tablet,60,7
zestril,40 mg,Tablet,90,9
zestril,40 mg,Tablet,180,12
zestoreticprinzide,10 mg/12.5 mg,Tablet,30,4
zestoreticprinzide,10 mg/12.5 mg,Tablet,60,7
zestoreticprinzide,10 mg/12.5 mg,Tablet,90,9
zestoreticprinzide,10 mg/12.5 mg,Tablet,180,17
zestoreticprinzide,20 mg/12.5 mg,Tablet,30,4
zestoreticprinzide,20 mg/12.5 mg,Tablet,60,7
zestoreticprinzide,20 mg/12.5 mg,Tablet,90,9
zestoreticprinzide,20 mg/12.5 mg,Tablet,180,17
zestoreticprinzide,20 mg/25 mg,Tablet,30,4
zestoreticprinzide,20 mg/25 mg,Tablet,60,7
zestoreticprinzide,20 mg/25 mg,Tablet,90,9
zestoreticprinzide,20 mg/25 mg,Tablet,180,17
zestoreticprinzide,10 mg/12.5 mg,Tablet,360,34
zegerid,20 mg/1100 mg,Capsule,30,80
zegerid,20 mg/1100 mg,Capsule,60,159
zegerid,20 mg/1100 mg,Capsule,90,238
zegerid,40 mg/1100 mg,Capsule,30,64
zegerid,40 mg/1100 mg,Capsule,60,127
zegerid,40 mg/1100 mg,Capsule,90,191
zebeta,5 mg,Tablet,30,11
zebeta,5 mg,Tablet,45,16
zebeta,5 mg,Tablet,60,21
zebeta,5 mg,Tablet,90,32
zebeta,10 mg,Tablet,30,8
zebeta,10 mg,Tablet,60,15
zebeta,10 mg,Tablet,90,22
zebeta,10 mg,Tablet,180,43
zaroxolyn,2.5 mg,Tablet,30,32
zaroxolyn,2.5 mg,Tablet,60,64
zaroxolyn,2.5 mg,Tablet,90,96
zaroxolyn,5 mg,Tablet,30,45
zaroxolyn,5 mg,Tablet,60,89
zaroxolyn,5 mg,Tablet,90,134
zaroxolyn,10 mg,Tablet,30,47
zaroxolyn,10 mg,Tablet,60,93
zaroxolyn,10 mg,Tablet,90,140
zaroxolyn,10 mg,Tablet,180,279
zantac,150 mg,Capsule,30,14
zantac,150 mg,Capsule,60,27
zantac,150 mg,Capsule,90,41
zantac,150 mg,Capsule,180,81
zantac,300 mg,Capsule,30,39
zantac,300 mg,Capsule,60,77
zantac,300 mg,Capsule,90,115
zantac,300 mg,Capsule,180,229
zantac,15 mg/473 ml,Solution,1,16
zantac,150 mg,Tablet,30,4
zantac,150 mg,Tablet,60,7
zantac,150 mg,Tablet,90,9
zantac,150 mg,Tablet,180,17
zantac,300 mg,Tablet,30,4
zantac,300 mg,Tablet,60,7
zantac,300 mg,Tablet,90,9
zantac,300 mg,Tablet,180,17
zanaflex,2 mg,Capsule,30,15
zanaflex,2 mg,Capsule,60,29
zanaflex,2 mg,Capsule,90,41
zanaflex,2 mg,Capsule,120,48
zanaflex,2 mg,Capsule,150,60
zanaflex,4 mg,Capsule,30,21
zanaflex,4 mg,Capsule,60,39
zanaflex,4 mg,Capsule,90,54
zanaflex,4 mg,Capsule,120,66
zanaflex,4 mg,Capsule,150,83
zanaflex,6 mg,Capsule,30,36
zanaflex,6 mg,Capsule,60,66
zanaflex,6 mg,Capsule,90,90
zanaflex,6 mg,Capsule,120,108
zanaflex,6 mg,Capsule,150,120
zanaflex,2 mg,Tablet,30,4
zanaflex,2 mg,Tablet,60,7
zanaflex,2 mg,Tablet,90,10
zanaflex,2 mg,Tablet,120,13
zanaflex,2 mg,Tablet,150,16
zanaflex,2 mg,Tablet,180,19
zanaflex,4 mg,Tablet,30,4
zanaflex,4 mg,Tablet,60,6
zanaflex,4 mg,Tablet,90,8
zanaflex,4 mg,Tablet,120,10
zanaflex,4 mg,Tablet,150,11
zanaflex,4 mg,Tablet,180,12
zanaflex,4 mg,Tablet,270,18
xyzal,2.5 mg/5 ml/118 ml,Solution,1,55
xyzal,2.5 mg/5 ml/118 ml,Solution,3,164
xyzal,2.5 mg/5 ml/148 ml,Solution,1,83
xyzal,2.5 mg/5 ml/148 ml,Solution,3,248
xyzal,5 mg,Tablet,30,4
xyzal,5 mg,Tablet,60,7
xyzal,5 mg,Tablet,90,10
xylocaine,5%/35.44 gm,Ointment,1,15
xylocaine,5%/35.44 gm,Ointment,3,45
xylocaine,5%/50 gm,Ointment,1,20
xylocaine,5%/50 gm,Ointment,3,59
xopenexhfa,45 mcg/15 gm,Inhaler,1,69
xopenexhfa,45 mcg/15 gm,Inhaler,3,205
xopenex,0.31 mg/3 ml,Inhalation Solution,24,39
xopenex,0.31 mg/3 ml,Inhalation Solution,48,77
xopenex,0.31 mg/3 ml,Inhalation Solution,72,116
xopenex,0.63 mg/3 ml,Inhalation Solution,24,24
xopenex,0.63 mg/3 ml,Inhalation Solution,48,48
xopenex,0.63 mg/3 ml,Inhalation Solution,72,72
xopenex,1.25 mg/3 ml,Inhalation Solution,24,27
xopenex,1.25 mg/3 ml,Inhalation Solution,48,54
xopenex,1.25 mg/3 ml,Inhalation Solution,72,81
xalatan,0.005%/2.5 ml,Solution,1,6
xalatan,0.005%/2.5 ml,Solution,3,18
westcort,0.2%/15 gm,Cream,1,26
westcort,0.2%/15 gm,Cream,3,78
westcort,0.2%/45 gm,Cream,1,52
westcort,0.2%/45 gm,Cream,3,156
westcort,0.2%/60 gm,Cream,1,65
westcort,0.2%/60 gm,Cream,3,195
westcort,0.2%/15 gm,Ointment,1,81
westcort,0.2%/15 gm,Ointment,3,242
westcort,0.2%/45 gm,Ointment,1,153
westcort,0.2%/45 gm,Ointment,3,459
westcort,0.2%/60 gm,Ointment,1,204
westcort,0.2%/60 gm,Ointment,3,610
wellbutrinxl,150 mg,Tablet Er,30,7
wellbutrinxl,150 mg,Tablet Er,60,13
wellbutrinxl,150 mg,Tablet Er,90,19
wellbutrinxl,150 mg,Tablet Er,180,38
wellbutrinxl,150 mg,Tablet Er,270,57
wellbutrinxl,300 mg,Tablet Er,30,6
wellbutrinxl,300 mg,Tablet Er,60,12
wellbutrinxl,300 mg,Tablet Er,90,18
wellbutrinxl,300 mg,Tablet Er,180,36
wellbutrinxl,300 mg,Tablet Er,270,54
wellbutrinsr,100 mg,Tablet Sr,30,4
wellbutrinsr,100 mg,Tablet Sr,60,8
wellbutrinsr,100 mg,Tablet Sr,90,11
wellbutrinsr,100 mg,Tablet Sr,120,15
wellbutrinsr,100 mg,Tablet Sr,180,22
wellbutrinsr,150 mg,Tablet Sr,30,4
wellbutrinsr,150 mg,Tablet Sr,60,8
wellbutrinsr,150 mg,Tablet Sr,90,12
wellbutrinsr,150 mg,Tablet Sr,180,23
wellbutrinsr,150 mg,Tablet Sr,270,35
wellbutrinsr,200 mg,Tablet Sr,30,5
wellbutrinsr,200 mg,Tablet Sr,60,9
wellbutrinsr,200 mg,Tablet Sr,90,13
wellbutrinsr,200 mg,Tablet Sr,180,25
wellbutrin,75 mg,Tablet,30,6
wellbutrin,75 mg,Tablet,60,12
wellbutrin,75 mg,Tablet,90,18
wellbutrin,75 mg,Tablet,120,23
wellbutrin,75 mg,Tablet,180,35
wellbutrin,100 mg,Tablet,30,6
wellbutrin,100 mg,Tablet,60,12
wellbutrin,100 mg,Tablet,90,18
wellbutrin,100 mg,Tablet,120,23
wellbutrin,100 mg,Tablet,180,35
vytorin,10 mg/10 mg,Tablet,30,51
vytorin,10 mg/10 mg,Tablet,90,153
vytorin,10 mg/20 mg,Tablet,30,51
vytorin,10 mg/20 mg,Tablet,60,102
vytorin,10 mg/20 mg,Tablet,90,153
vytorin,10 mg/40 mg,Tablet,30,51
vytorin,10 mg/40 mg,Tablet,45,77
vytorin,10 mg/40 mg,Tablet,60,102
vytorin,10 mg/40 mg,Tablet,90,153
vytorin,10 mg/80 mg,Tablet,30,51
vytorin,10 mg/80 mg,Tablet,60,102
vytorin,10 mg/80 mg,Tablet,90,153
voltarenxr,100 mg,Tablet Er,30,51
voltarenxr,100 mg,Tablet Er,60,102
voltarenxr,100 mg,Tablet Er,90,153
voltarenophthalmic,0.1%/2.5 ml,Solution,1,8
voltarenophthalmic,0.1%/2.5 ml,Solution,3,23
voltarenophthalmic,0.1%/5 ml,Solution,1,10
voltarenophthalmic,0.1%/5 ml,Solution,3,30
voltarengel,1%/100 gm,Gel,1,18
voltarengel,1%/100 gm,Gel,3,54
voltarengel,3%/100 gm,Gel,1,61
voltarengel,3%/100 gm,Gel,3,183
voltaren,50 mg,Tablet Dr,30,4
voltaren,50 mg,Tablet Dr,60,7
voltaren,50 mg,Tablet Dr,90,9
voltaren,50 mg,Tablet Dr,120,11
voltaren,50 mg,Tablet Dr,180,15
voltaren,75 mg,Tablet Dr,30,4
voltaren,75 mg,Tablet Dr,60,7
voltaren,75 mg,Tablet Dr,90,9
voltaren,75 mg,Tablet Dr,180,17
vivelledot,0.025 mg/24h,Patch,8,75
vivelledot,0.025 mg/24h,Patch,24,223
vivelledot,0.0375 mg/24h,Patch,8,73
vivelledot,0.0375 mg/24h,Patch,24,219
vivelledot,0.05 mg/24h,Patch,8,73
vivelledot,0.05 mg/24h,Patch,24,219
vivelledot,0.075 mg/24h,Patch,8,75
vivelledot,0.075 mg/24h,Patch,24,225
vivelledot,0.1 mg/24h,Patch,8,64
vivelledot,0.1 mg/24h,Patch,24,190
vigamox,0.5%/3 ml,Solution,1,25
vigamox,0.5%/3 ml,Solution,3,75
vibramycin,50 mg,Capsule,30,11
vibramycin,50 mg,Capsule,50,17
vibramycin,50 mg,Capsule,60,21
vibramycin,50 mg,Capsule,90,31
vibramycin,50 mg,Capsule,180,61
vibramycin,100 mg,Capsule,30,7
vibramycin,100 mg,Capsule,50,12
vibramycin,100 mg,Capsule,60,14
vibramycin,100 mg,Capsule,90,21
vibramycin,20 mg,Tablet,30,11
vibramycin,20 mg,Tablet,60,22
vibramycin,20 mg,Tablet,90,33
vibramycin,20 mg,Tablet,180,65
vibramycin,75 mg,Tablet,30,216
vibramycin,75 mg,Tablet,60,431
vibramycin,75 mg,Tablet,90,646
vibramycin,75 mg,Tablet,120,861
vibramycin,100 mg,Tablet,30,6
vibramycin,100 mg,Tablet,60,11
vibramycin,100 mg,Tablet,100,17
vibramycin,150 mg,Tablet,30,127
vibramycin,150 mg,Tablet,60,254
vibramycin,150 mg,Tablet,100,424
vfend,50 mg,Tablet,30,115
vfend,50 mg,Tablet,60,229
vfend,50 mg,Tablet,120,457
vfend,200 mg,Tablet,30,161
vfend,200 mg,Tablet,60,322
vfend,200 mg,Tablet,120,644
velivet,0.1 mg-0.125 mg-0.15 mg/25 mcg,Tablet,28,15
velivet,0.1 mg-0.125 mg-0.15 mg/25 mcg,Tablet,84,42
vasotec,2.5 mg,Tablet,30,8
vasotec,2.5 mg,Tablet,60,16
vasotec,2.5 mg,Tablet,90,24
vasotec,2.5 mg,Tablet,120,31
vasotec,2.5 mg,Tablet,180,47
vasotec,5 mg,Tablet,30,6
vasotec,5 mg,Tablet,60,11
vasotec,5 mg,Tablet,90,17
vasotec,5 mg,Tablet,120,22
vasotec,5 mg,Tablet,180,33
vasotec,10 mg,Tablet,30,6
vasotec,10 mg,Tablet,60,11
vasotec,10 mg,Tablet,90,17
vasotec,10 mg,Tablet,120,22
vasotec,10 mg,Tablet,180,33
vasotec,20 mg,Tablet,30,7
vasotec,20 mg,Tablet,60,14
vasotec,20 mg,Tablet,90,21
vasotec,20 mg,Tablet,120,27
vasotec,20 mg,Tablet,180,41
vaseretic,5 mg/12.5 mg,Tablet,30,6
vaseretic,5 mg/12.5 mg,Tablet,60,11
vaseretic,5 mg/12.5 mg,Tablet,90,16
vaseretic,5 mg/12.5 mg,Tablet,180,32
vaseretic,10 mg/25 mg,Tablet,30,5
vaseretic,10 mg/25 mg,Tablet,60,10
vaseretic,10 mg/25 mg,Tablet,90,15
vaseretic,10 mg/25 mg,Tablet,180,30
valtrex,1 gm,Tablet,30,17
valtrex,1 gm,Tablet,60,33
valtrex,1 gm,Tablet,90,48
valtrex,500 mg,Tablet,1,0.5
valtrex,500 mg,Tablet,5,2
valtrex,500 mg,Tablet,45,16
valtrex,500 mg,Tablet,60,21
valtrex,500 mg,Tablet,90,28
valtrex,500 mg,Tablet,30,11
valisone,0.1%/15 gm,Cream,1,21
valisone,0.1%/15 gm,Cream,3,61
valisone,0.1%/45 gm,Cream,1,43
valisone,0.1%/45 gm,Cream,3,127
valisone,0.12%/50 gm,Foam,1,156
valisone,0.12%/50 gm,Foam,3,467
valisone,0.12%/100 gm,Foam,1,205
valisone,0.12%/100 gm,Foam,3,614
valisone,0.1%/60 gm,Lotion,1,61
valisone,0.1%/60 gm,Lotion,3,181
valisone,0.1%/15 gm,Ointment,1,13
valisone,0.1%/15 gm,Ointment,3,38
valisone,0.1%/45 gm,Ointment,1,26
valisone,0.1%/45 gm,Ointment,3,77
vagifem,10 mcg,Vaginal Tablet,8,93
vagifem,10 mcg,Vaginal Tablet,18,209
urso,250 mg,Tablet,30,25
urso,250 mg,Tablet,60,50
urso,250 mg,Tablet,90,75
urso,250 mg,Tablet,150,125
urso,250 mg,Tablet,180,150
urso,500 mg,Tablet,30,49
urso,500 mg,Tablet,60,98
urso,500 mg,Tablet,90,147
urso,500 mg,Tablet,180,293
urso,500 mg,Tablet,270,439
uroxatral,10 mg,Tablet Er,30,5
uroxatral,10 mg,Tablet Er,60,10
uroxatral,10 mg,Tablet Er,90,14
uroxatral,10 mg,Tablet Er,180,28
urocitk,5 meq,Tablet Er,30,29
urocitk,5 meq,Tablet Er,60,57
urocitk,5 meq,Tablet Er,90,85
