default_quantity,dosage,drug_id,form_name,slug
1.0,15g-of-45mcg,42593,inhaler,xopenex-hfa
1.0,454g,35745,can-of-powder,kalexate
1.0,56-ampules-of-300mg-5ml,40577,carton,tobi
5.0,5mg,30213,tablet,blocadron
60.0,10mg,30212,tablet,blocadron
60.0,20mg,29313,tablet,blocadron
1.0,60ml-of-0.05%25,34472,bottle-of-lotion,alphatrex
1.0,15g-of-0.05%25,35968,tube-of-cream,alphatrex
1.0,45g-of-0.05%25,35967,tube-of-cream,alphatrex
1.0,15g-of-0.05%25,36312,tube-of-ointment,alphatrex
1.0,45g-of-0.05%25,34468,tube-of-ointment,alphatrex
90.0,100mg,41977,capsule,coq10
30,200mg,41978,capsule,coq10
1.0,250ml-of-300mg-5ml,26444,bottle-of-oral-suspension,trileptal
60.0,150mg,7011,tablet,trileptal
60.0,300mg,5210,tablet,trileptal
60.0,600mg,5212,tablet,trileptal
30.0,100mg,7316,tablet,symadine
300.0,50mg-5ml,13246,oral-solution,symadine
60.0,100mg,29775,capsule,symadine
1.0,1.5mg,42366,tablet,afterpill
1.0,1.5mg,40866,tablet,afterpill
1,1.5mg,42368,tablet,afterpill
1.0,1.5mg,40867,tablet,afterpill
1.0,1.5mg,37822,tablet,afterpill
1.0,1.5mg,40107,tablet,afterpill
60.0,7.5mg,4106,tablet,buspar
60.0,10mg,235,tablet,buspar
60.0,15mg,798,tablet,buspar
60.0,30mg,4104,tablet,buspar
60.0,5mg,234,tablet,buspar
30.0,150mg,33621,tablet,lamivudine
30.0,100mg,39383,tablet,lamivudine
1.0,240ml-of-10mg-ml,40650,bottle-of-oral-solution,lamivudine
30.0,300mg,36156,tablet,lamivudine
30.0,8mg,1180,tablet,ondansetron
30.0,4mg,1178,tablet,ondansetron
270.0,24mg,33640,tablet,ondansetron
40,4mg-2ml,43242,syringe,ondansetron
30.0,8mg,32284,orally-disintegrating-tab,ondansetron
10.0,4mg,30105,orally-disintegrating-tab,ondansetron
1.0,50ml-of-4mg-5ml,8124,bottle-of-oral-solution,ondansetron
25.0,2ml-of-2mg-ml,35850,vial,ondansetron
10.0,20ml-of-2mg-ml,35849,vial,ondansetron
1.0,28-tablets,39438,package,balziva
1.0,28-tablets,8138,package,balziva
1.0,28-tablets,8108,package,balziva
1.0,28-tablets,33938,package,balziva
1.0,28-tablets,38872,package,balziva
1.0,28-tablets,38871,package,balziva
60.0,500mg,1115,capsule,ampicillin
6.0,250mg,1113,capsule,ampicillin
1,200ml-of-250mg-5ml,36580,bottle-of-oral-suspension,ampicillin
1,200ml-of-125mg-5ml,36578,bottle-of-oral-suspension,ampicillin
1,100ml-of-250mg-5ml,36579,bottle-of-oral-suspension,ampicillin
1,100ml-of-125mg-5ml,36577,bottle-of-oral-suspension,ampicillin
90.0,250mg,30055,capsule,mexiletine
90.0,150mg,5071,capsule,mexiletine
90.0,200mg,33744,capsule,mexiletine
1.0,100ml-of-400mg-5ml,44361,bottle-of-oral-suspension,erythromycin-ethylsuccinate
1.0,200ml-of-200mg-5ml,42804,bottle-of-oral-suspension,erythromycin-ethylsuccinate
28.0,400mg,7687,tablet,erythromycin-ethylsuccinate
1.0,100ml-of-200mg-5ml,42803,bottle-of-oral-suspension,erythromycin-ethylsuccinate
60.0,25mg,33335,capsule,zonegran
60.0,50mg,33454,capsule,zonegran
120.0,100mg,29638,capsule,zonegran
1.0,60g-of-0.05%25,34593,tube-of-cream,desonide
1.0,15g-of-0.05%25,34592,tube-of-cream,desonide
1.0,59ml-of-0.05%25,35896,bottle-of-lotion,desonide
1.0,118ml-of-0.05%25,35895,bottle-of-lotion,desonide
1.0,60g-of-0.05%25,34595,tube-of-ointment,desonide
1.0,15g-of-0.05%25,34594,tube-of-ointment,desonide
1.0,30g-of-2.5%25-2.5%25,34829,tube-of-cream,lidocaine-prilocaine
1.0,5g-of-2.5%25-2.5%25,43408,tube-of-cream,lidocaine-prilocaine
1.0,60ml-of-5%25,38648,bottle-of-topical-solution,men-s-rogaine
1.0,60g-of-5%25,38649,can-of-foam,men-s-rogaine
1.0,60ml-of-2%25,38647,bottle-of-topical-solution,men-s-rogaine
30.0,25mg,7575,capsule,anafranil
30.0,50mg,4282,capsule,anafranil
30.0,75mg,4283,capsule,anafranil
14.0,2mg,33827,orally-disintegrating-tab,niravam
30.0,1mg,33826,orally-disintegrating-tab,niravam
30.0,0.5mg,33663,orally-disintegrating-tab,niravam
30.0,0.25mg,33825,orally-disintegrating-tab,niravam
30.0,10mg,39716,tablet,vesicare
30.0,5mg,39715,tablet,vesicare
1.0,15g-of-0.1%25,34871,tube-of-ointment,elocon
1.0,45g-of-0.1%25,34870,tube-of-cream,elocon
1.0,15g-of-0.1%25,34869,tube-of-cream,elocon
1.0,60ml-of-0.1%25,36159,bottle-of-lotion,elocon
1.0,30ml-of-0.1%25,36160,bottle-of-lotion,elocon
1.0,45g-of-0.1%25,34872,tube-of-ointment,elocon
25.0,2.5ml-of-0.02%25,665,vial,atrovent
1.0,15ml-of-0.06%25,31839,nasal-spray,atrovent
1.0,30ml-of-0.03%25,31841,nasal-spray,atrovent
1.0,28-tablets-of-0.15mg-0.03mg,41955,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,23716,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,27365,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,38999,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,37832,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,41956,package,desogestrel-ethinyl-estradiol
1.0,28-tablets-of-0.15mg-0.03mg,33633,package,desogestrel-ethinyl-estradiol
1.0,20ml-of-2g,35780,vial,cytarabine
2.0,5ml-of-100mg,34128,vial,cytarabine
90.0,800mg,42342,tablet,mesalamine-dr
180.0,400mg,43894,capsule,mesalamine-dr
120.0,1.2g,42807,tablet,mesalamine-dr
4,28-bottles-and-wipes-of-4g-60ml,40679,kit,mesalamine
4.0,7-bottles-of-4g-60ml,36903,carton,mesalamine
1.0,28-bottles-of-4g-60ml,33659,carton,mesalamine
30.0,1000mg,43616,suppository,mesalamine
1.0,7-bottles-and-wipes-of-4g-60ml,40678,kit,mesalamine
90.0,250mg,43111,capsule,syprine
30.0,50mg,41058,capsule,lipofen
30.0,150mg,41059,capsule,lipofen
1.0,15ml-of-54mg-14mg-ml,35357,ear-dropper,aurodex
1.0,250mg,6975,vial,ceftriaxone
7.0,2g,36133,vial,ceftriaxone
1.0,500mg,34427,vial,ceftriaxone
1.0,1g,31177,vial,ceftriaxone
1.0,28-tablets,7189,package,modicon
1.0,28-tablets,2339,package,modicon
1.0,28-tablets,40682,package,modicon
30.0,25mg-30mg,42829,tablet,oseni
30.0,25mg-45mg,42831,tablet,oseni
90.0,12.5mg-15mg,42826,tablet,oseni
30,12.5mg-30mg,42828,tablet,oseni
30,12.5mg-45mg,42830,tablet,oseni
30.0,25mg-15mg,42827,tablet,oseni
30.0,0.125mg,34095,orally-disintegrating-tab,symax-fastab
1.0,5ml-of-0.5%25,35529,eye-dropper,acular
60.0,1mg,41516,tablet,pimozide
60.0,2mg,41517,tablet,pimozide
1.0,28-tablets-of-0.15mg-0.03mg,38999,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,42714,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,27365,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,23716,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,41955,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,41956,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,37832,package,desogen
1.0,28-tablets-of-0.15mg-0.03mg,33633,package,desogen
30.0,7.5mg,22954,tablet,mirtazapine
30.0,45mg,5100,tablet,mirtazapine
30.0,30mg,819,tablet,mirtazapine
30.0,15mg,818,tablet,mirtazapine
30.0,45mg,32097,orally-disintegrating-tab,mirtazapine
30.0,30mg,32096,orally-disintegrating-tab,mirtazapine
30.0,15mg,32095,orally-disintegrating-tab,mirtazapine
1.0,28-tablets,40413,package,tri-lo-marzia
1.0,28-tablets,41948,package,tri-lo-marzia
1.0,28-tablets,27162,package,tri-lo-marzia
1.0,28-tablets,42606,package,tri-lo-marzia
1.0,28-tablets,41934,package,tri-lo-marzia
1.0,100mg-5ml,37932,bottle-of-oral-suspension,children-s-advil
1.0,3.5ml-of-0.5%25,35686,bottle-of-topical-solution,podofilox
60.0,75mg,44056,capsule,lyrica
60.0,50mg,44055,capsule,lyrica
60.0,300mg,44061,capsule,lyrica
60.0,25mg,44054,capsule,lyrica
60.0,225mg,44060,capsule,lyrica
90.0,200mg,44059,capsule,lyrica
60.0,150mg,44058,capsule,lyrica
90.0,100mg,44057,capsule,lyrica
1.0,473ml-of-20mg-ml,44175,bottle-of-oral-solution,lyrica
30.0,60mg,37001,capsule,trospium-er
60.0,1mg,8664,tablet,robinul
2.0,1ml-of-1mg-ml,33919,vial,vincasar
1.0,2ml-of-1mg-ml,33534,vial,vincasar
60.0,200mg,25187,tablet,cimetidine
60.0,300mg,416,tablet,cimetidine
60.0,400mg,417,tablet,cimetidine
30.0,800mg,110,tablet,cimetidine
237.0,300mg-5ml,8363,oral-solution,cimetidine
120.0,0.125mg,41041,orally-disintegrating-tab,oscimin
30.0,0.125mg,41039,tablet,oscimin
30.0,0.125mg,41040,sublingual,oscimin
1.0,120ml-of-2.5mg-ml,43522,bottle-of-oral-suspension,clobazam
60.0,20mg,43521,tablet,clobazam
60.0,10mg,43520,tablet,clobazam
60.0,20mg,30236,tablet,trospium
90.0,80mg,217,tablet,isoptin
90.0,120mg,218,tablet,isoptin
90.0,40mg,5632,tablet,isoptin
60.0,2.5mg-500mg,764,tablet,glucovance
60.0,1.25mg-250mg,763,tablet,glucovance
120.0,5mg-500mg,22271,tablet,glucovance
1.0,45g-of-1%25,34564,tube-of-cream,mycelex
1.0,30g-of-1%25,34565,tube-of-cream,mycelex
1.0,15g-of-1%25,34563,tube-of-cream,mycelex
70.0,10mg,31282,lozenge,mycelex
1.0,30ml-of-1%25,35666,bottle-of-topical-solution,mycelex
1.0,10ml-of-1%25,41933,bottle-of-topical-solution,mycelex
30.0,4g-of-2.5%25,43412,tube-of-cream,micort-hc
30,8.16mg-325mg,44080,tablet,benzhydrocodone-acetaminophen
30,6.12mg-325mg,44079,tablet,benzhydrocodone-acetaminophen
30,4.08mg-325mg,44078,tablet,benzhydrocodone-acetaminophen
30.0,100mg,5447,tablet,aldactone
30.0,50mg,731,tablet,aldactone
30.0,25mg,209,tablet,aldactone
1.0,15g-of-1%25,44432,tube-of-cream,clotrimazole-non-prescription
1.0,28g-of-1%25,44433,tube-of-cream,clotrimazole-non-prescription
1.0,45g-of-1%25,44431,tube-of-cream,clotrimazole-non-prescription
30.0,5mg-12.5mg,6599,tablet,vaseretic
90.0,10mg-25mg,21403,tablet,vaseretic
90.0,1mg,1233,tablet,folvite
1.0,10ml-of-1%25-2%25,35356,ear-dropper,hydrocortisone-acetic-acid
30.0,0.4mg,5164,patch,minitran
30.0,0.1mg,33720,patch,minitran
30.0,0.6mg,32084,patch,minitran
90.0,0.4mg,7023,patch,minitran
30.0,0.2mg,43428,patch,minitran
30.0,0.1mg,32083,patch,minitran
30.0,0.6mg,8718,patch,minitran
1.0,30g-of-1.2%25-0.025%25,42296,tube-of-gel,clindamycin-tretinoin
1.0,60g-of-1.2%25-0.025%25,42297,tube-of-gel,clindamycin-tretinoin
30.0,135mg,38420,capsule,trilipix
90.0,45mg,38419,capsule,trilipix
1.0,28-tablets,42608,package,beyaz
90.0,500mg,42904,chewable-tablet,lanthanum
90.0,1000mg,42906,chewable-tablet,lanthanum
45.0,750mg,42905,chewable-tablet,lanthanum
9.0,5mg,37349,orally-disintegrating-tab,maxalt-mlt
9.0,10mg,37348,orally-disintegrating-tab,maxalt-mlt
30.0,2.5mg,7305,tablet,dexmethylphenidate
60.0,10mg,7306,tablet,dexmethylphenidate
30.0,5mg,7129,tablet,dexmethylphenidate
30.0,100mg,30028,capsule,meclomen
30.0,50mg,30029,capsule,meclomen
1.0,25g-of-1%25,35945,tube-of-cream,ssd
1.0,50g-of-1%25,35004,jar-of-cream,ssd
1,400g-of-1%25,35947,jar-of-cream,ssd
1,85g-of-1%25,35946,tube-of-cream,ssd
120.0,15mg,7202,tablet,oxycodone
120.0,10mg,7203,tablet,oxycodone
300.0,5mg-5ml,7200,oral-solution,oxycodone
30.0,100mg-5ml,43697,oral-solution,oxycodone
30.0,5mg,33772,capsule,oxycodone
1.0,30ml-of-20mg-ml,36706,bottle-of-oral-solution,oxycodone
1,15ml-of-20mg-ml,36705,bottle-of-oral-solution,oxycodone
30.0,5mg,6673,tablet,oxycodone
120.0,30mg,7198,tablet,oxycodone
120.0,20mg,7199,tablet,oxycodone
30.0,320mg,40054,tablet,diovan
30.0,160mg,40053,tablet,diovan
30.0,80mg,40052,tablet,diovan
30.0,40mg,40051,tablet,diovan
1.0,120g-of-0.005%25,43425,tube-of-ointment,calcitrene
100.0,30cm-of-75%25,33664,applicator,silver-nitrate
60.0,100mg,4646,tablet,ansaid
30.0,50mg,25707,tablet,ansaid
2.0,100ml-of-250mg-5ml,39550,bottle-of-oral-suspension,cipro
1.0,100ml-of-500mg-5ml,39551,bottle-of-oral-suspension,cipro
14.0,250mg,41,tablet,cipro
14.0,500mg,42,tablet,cipro
20.0,750mg,29859,tablet,cipro
2.0,5ml-of-50mg,33872,vial,navelbine
10.0,1ml-of-10mg,33871,vial,navelbine
60.0,2.68mg,21484,tablet,tavist
30.0,25mg,42252,tablet,edecrin
1.0,15ml-of-2%25,35353,ear-dropper,orlex
1.0,60ml-of-2%25,35354,ear-dropper,orlex
90.0,50mg,12768,tablet,dralzine
90.0,100mg,12767,tablet,dralzine
90.0,10mg,179,tablet,dralzine
90.0,25mg,180,tablet,dralzine
60.0,20mg,205,tablet,inderal
60.0,10mg,204,tablet,inderal
200.0,40mg-5ml,36716,oral-solution,inderal
150.0,20mg-5ml,8756,oral-solution,inderal
60.0,80mg,207,tablet,inderal
60.0,60mg,5333,tablet,inderal
60.0,40mg,206,tablet,inderal
30.0,30mg,1003,tablet,imdur
30.0,120mg,29986,tablet,imdur
30.0,60mg,1004,tablet,imdur
1.0,16g-of-50mcg,1486,nasal-spray,flonase
1,120ml-of-0.05%25,41923,bottle-of-lotion,flonase
1.0,60ml-of-0.05%25,34710,bottle-of-lotion,flonase
15.0,4ml-of-10000-units-ml,34387,vial,panheprin
3,30ml-of-1000-units-ml,34384,vial,panheprin
1,2ml-of-1000-units-ml,34388,vial,panheprin
60.0,1ml-of-5000-units-ml,8243,vial,panheprin
24.0,1ml-of-20000-units-ml,36148,vial,panheprin
25.0,1ml-of-10000-units-ml,31763,vial,panheprin
25,1ml-of-1000-units-ml,34385,vial,panheprin
6.0,10ml-of-5000-units-ml,34386,vial,panheprin
60.0,10ml-of-1000-units-ml,31762,vial,panheprin
6.0,5ml-of-10000-units-ml,31764,vial,panheprin
12.0,30mg,27761,suppository,hydrocortisone-acetate
12.0,25mg,283,suppository,hydrocortisone-acetate
90.0,800mg,42342,tablet,asacol-hd
30.0,0.1mg,4628,tablet,florinef
1.0,5ml-of-0.5%25,43981,eye-dropper,lotemax
1.0,15ml-of-0.5%25,43983,eye-dropper,lotemax
1.0,10ml-of-0.5%25,43982,eye-dropper,lotemax
90.0,37.5mg-25mg,12678,tablet,maxzide
90.0,75mg-50mg,12679,tablet,maxzide
6.0,5ml-of-20mg-ml,34430,vial,toposar
2,50ml-of-20mg-ml,34432,vial,toposar
2,25ml-of-20mg-ml,34431,vial,toposar
1,240ml-of-100mg-5ml,36699,bottle-of-oral-solution,morphine
1.0,15ml-of-100mg-5ml,36697,bottle-of-oral-solution,morphine
1.0,120ml-of-100mg-5ml,36698,bottle-of-oral-solution,morphine
1.0,30ml-of-100mg-5ml,36700,bottle-of-oral-solution,morphine
500.0,10mg-5ml,8452,oral-solution,morphine
100.0,20mg-5ml,32115,oral-solution,morphine
8.0,10mg,40832,suppository,morphine
12,20mg,40833,suppository,morphine
60.0,30mg,40834,suppository,morphine
12,5mg,40831,suppository,morphine
90.0,15mg,8054,tablet,morphine
90.0,30mg,8449,tablet,morphine
30.0,37.5mg,3867,tablet,phentermine
30.0,15mg,5255,capsule,phentermine
30.0,30mg,5256,capsule,phentermine
30.0,37.5mg,23410,capsule,phentermine
60.0,500mg,5316,tablet,probalan
30.0,400mg,20894,tablet,cordarone
30.0,200mg,20893,tablet,cordarone
30.0,100mg,41271,tablet,cordarone
30.0,320.5mg-30mg-16mg,43593,capsule,acetaminophen-caffeine-dihydrocodeine
10.0,325mg-30mg-16mg,42526,tablet,acetaminophen-caffeine-dihydrocodeine
90.0,1.25mg,184,tablet,lozol
90.0,2.5mg,185,tablet,lozol
30.0,3ml-of-0.5mg-3mg-3ml,35133,vial,duoneb
90.0,10mg-300mg,37793,tablet,hydrocodone-acetaminophen
300.0,7.5mg-325mg-15ml,36857,oral-solution,hydrocodone-acetaminophen
60.0,7.5mg-325mg,40547,tablet,hydrocodone-acetaminophen
30.0,5mg-325mg,40545,tablet,hydrocodone-acetaminophen
120.0,10mg-325mg,40546,tablet,hydrocodone-acetaminophen
90.0,7.5mg-325mg,29968,tablet,hydrocodone-acetaminophen
90.0,7.5mg-300mg,37792,tablet,hydrocodone-acetaminophen
12.0,5mg-325mg,6743,tablet,hydrocodone-acetaminophen
30.0,5mg-300mg,37791,tablet,hydrocodone-acetaminophen
120.0,10mg-325mg,4742,tablet,hydrocodone-acetaminophen
75.0,25mg-5ml,36169,oral-suspension,furadantin
14.0,100mg,8722,capsule,furadantin
30.0,25mg,41474,capsule,furadantin
30.0,50mg,8721,capsule,furadantin
1.0,12.5mg-5ml,37947,bottle-of-oral-solution,children-s-diphenhydramine
1,5-packets-of-5%25,42879,carton,mafenide
90.0,25mg,138,tablet,tenormin
90.0,100mg,140,tablet,tenormin
90.0,50mg,139,tablet,tenormin
90.0,24-hour,43174,capsule,claritin
30.0,24-hour,36814,orally-disintegrating-tab,claritin
30.0,24-hour,25,tablet,claritin
30.0,0.4mg,24100,capsule,flomax
30.0,5mg-1.5mg,29972,tablet,hydrocodone-homatropine
120.0,5mg-1.5mg-5ml,31785,syrup,hydrocodone-homatropine
1.0,9-tablets-of-2.5mg,41987,dose-pack,frovatriptan
1.0,200mg-suppository-and-2%25-cream,38973,kit,miconazole-3
2.0,150mg,101,tablet,diflucan
7.0,100mg,1126,tablet,diflucan
1.0,35ml-of-40mg-ml,36819,bottle-of-oral-suspension,diflucan
1.0,35ml-of-10mg-ml,36630,bottle-of-oral-suspension,diflucan
60.0,50mg,25682,tablet,diflucan
60.0,200mg,22113,tablet,diflucan
120.0,10mg-325mg,4742,tablet,hycet
90.0,10mg-300mg,37793,tablet,hycet
300.0,7.5mg-325mg-15ml,36857,oral-solution,hycet
90.0,7.5mg-325mg,29968,tablet,hycet
90.0,7.5mg-300mg,37792,tablet,hycet
12.0,5mg-325mg,6743,tablet,hycet
30.0,5mg-300mg,37791,tablet,hycet
20.0,600mg,37580,tablet,mucinex
2.0,15ml-of-10mg-ml,33736,vial,paraplatin
1.0,60ml-of-10mg-ml,33738,vial,paraplatin
1.0,5ml-of-10mg-ml,33735,vial,paraplatin
2.0,45ml-of-10mg-ml,33737,vial,paraplatin
1.0,0.45g-of-232mcg-14mcg,42756,respiclick-inhaler,airduo
1.0,0.45g-of-113mcg-14mcg,42755,respiclick-inhaler,airduo
1.0,0.45g-of-55mcg-14mcg,42754,respiclick-inhaler,airduo
6.0,500mg,5137,tablet,neobiotic
1.0,15g-of-0.05%25,34476,tube-of-ointment,diprolene
1.0,45g-of-0.05%25,34478,tube-of-ointment,diprolene
1.0,50g-of-0.05%25,34477,tube-of-ointment,diprolene
1.0,30ml-of-0.05%25,34483,bottle-of-lotion,diprolene
1.0,60ml-of-0.05%25,34482,bottle-of-lotion,diprolene
1.0,15g-of-0.05%25,35966,tube-of-cream,diprolene
1.0,50g-of-0.05%25,35965,tube-of-cream,diprolene
1.0,15g-of-0.05%25,34480,tube-of-gel,diprolene
1.0,50g-of-0.05%25,34479,tube-of-gel,diprolene
30.0,24-hour,7449,tablet,cetirizine
90.0,1mg,37401,tablet,propecia
60.0,4mg-5ml,36666,oral-solution,palgic
60.0,4mg,21290,tablet,palgic
1.0,3.5ml-of-0.5%25,35686,bottle-of-topical-solution,condylox
25.0,3ml-of-1.25mg-3ml,35129,vial,accuneb
25.0,3ml-of-0.63mg-3ml,35123,vial,accuneb
1.0,10ml-of-26%25,34997,applicator,salitop
1.0,10ml-of-27.5%25,40506,applicator,salitop
1.0,40g-of-6%25,40503,tube-of-gel,salitop
1.0,70g-of-6%25,36307,can-of-foam,salitop
1.0,200g-of-6%25,36308,can-of-foam,salitop
1.0,473ml-of-6%25,40505,bottle-of-lotion,salitop
1.0,414ml-of-6%25,34996,bottle-of-lotion,salitop
1.0,400g-of-6%25,40504,bottle-of-lotion,salitop
1.0,454g-of-6%25,40500,bottle-of-cream,salitop
1.0,400g-of-6%25,34995,bottle-of-cream,salitop
1.0,10ml-of-28.5%25,42528,applicator,salitop
1.0,177ml-of-6%25,34998,bottle-of-shampoo,salitop
30.0,17.5mg,38681,capsule,acitretin
30.0,25mg,38679,capsule,acitretin
30.0,10mg,38678,capsule,acitretin
60.0,2.5mg,6846,capsule,marinol
60.0,10mg,6849,capsule,marinol
60.0,5mg,6847,capsule,marinol
1.0,28-tablets-of-0.15mg-0.03mg,22621,package,ayuna
1.0,28-tablets-of-0.15mg-0.03mg,37300,package,ayuna
3.0,28-tablets-of-0.15mg-0.03mg,40961,package,ayuna
1.0,28-tablets-of-0.15mg-0.03mg,42523,package,ayuna
1.0,28-tablets-of-0.15mg-0.03mg,38548,package,ayuna
1.0,28-tablets-of-0.15mg-0.03mg,7032,package,ayuna
1.0,28-tablets-of-0.15mg-0.03mg,43495,package,ayuna
20.0,300mg,4170,capsule,omnicef
1.0,100ml-of-125mg-5ml,36606,bottle-of-oral-suspension,omnicef
1.0,100ml-of-250mg-5ml,36608,bottle-of-oral-suspension,omnicef
1.0,60ml-of-125mg-5ml,36605,bottle-of-oral-suspension,omnicef
1.0,60ml-of-250mg-5ml,36607,bottle-of-oral-suspension,omnicef
120.0,125mg,7561,capsule,divalproex
60.0,125mg,13253,tablet,divalproex
60.0,250mg,29895,tablet,divalproex
60.0,500mg,29896,tablet,divalproex
1.0,51g-of-1.1%25,41209,tube-of-paste,denta-5000-plus
1.0,51g-of-1.1%25,35940,tube-of-paste,denta-5000-plus
30.0,2mg,36485,tablet,tiagabine
30.0,4mg,36486,tablet,tiagabine
60.0,12mg,43059,tablet,tiagabine
7.0,16mg,43060,tablet,tiagabine
60.0,37.5mg,42393,tablet,lopressor
60.0,25mg,6322,tablet,lopressor
60.0,100mg,6326,tablet,lopressor
60.0,75mg,42394,tablet,lopressor
60.0,50mg,1569,tablet,lopressor
1.0,3-suppositories-of-80mg,7230,dose-pack,terazol-3
1.0,20g-of-0.8%25,35030,tube-of-cream,terazol-3
1.0,5ml-of-75mg-ml,36438,vial,vistide
30.0,100mg,33377,capsule,prometrium
30.0,200mg,33373,capsule,prometrium
60.0,10mg,43312,tablet,dalfampridine-er
1.0,60-single-use-containers-of-2%25-.05%25,43475,carton,dorzolamide-timolol
1.0,10ml-of-2%25-0.5%25,35490,eye-dropper,dorzolamide-timolol
